id,createdDate,updatedDate,version,createdBy,authorizationId,whiteboardId,postId,linkId,calloutId,sortOrder
053e58b3-9202-4995-a822-a87ff4e1dec5,"2023-11-21 15:23:13.893453","2024-09-11 08:57:19.061629",136,efea4dfb-af17-411c-bf28-e42b390eebb0,21c72194-a00b-4323-96f9-2de32a4e49f8,NULL,NULL,NULL,57c9a232-2fb3-4a6d-a37a-22812b53f8d3,1
0bb8c2a2-9921-4474-9064-6c6392e80ab9,"2024-02-01 14:20:24.717476","2024-09-11 08:57:16.880250",126,a43f5255-e08a-400a-9512-f6d2536c506e,07d9656c-4f67-415d-a1bc-736082d38d65,NULL,NULL,NULL,35bd81fe-f881-489e-aa37-e618eddd7148,2
1b6cc4ae-1252-4ddc-9635-24b7b4b3a280,"2024-06-03 19:01:17.631718","2024-09-11 08:57:17.418643",42,d3521bff-a6b5-4a5c-bf67-1d60347a5e9b,f23f6a06-f0b3-4287-8b67-f849ed0dddee,NULL,NULL,NULL,3cc294ec-1bea-4bc3-ab6b-88bedc953d68,1
23cc21f5-ada2-45e3-b84f-309ccd27857e,"2024-03-07 12:02:45.589874","2024-09-11 08:57:21.161882",81,a43f5255-e08a-400a-9512-f6d2536c506e,70c1105f-dd9a-4f51-a5c1-344fdfb6184c,NULL,NULL,NULL,71eaf2ec-b01c-4a95-bfc7-393050e3fddd,1
28703f7a-b2e4-4aec-85ba-7f1fa98be360,"2024-05-13 07:50:12.611800","2024-09-11 08:57:21.290273",88,102a5cd1-4497-4fa7-b06e-1a97959a6715,dfc6d3db-05e2-47fd-a378-28666957048f,NULL,NULL,NULL,750845cf-0676-4b05-9a02-8eb6b9030692,1
2aa27ee4-8968-4e34-abe9-6cf39f9a0c80,"2024-07-23 09:52:45.244358","2024-09-11 08:57:18.008201",10,9c3f6da5-a69e-4ad3-ab0a-8081f41c9506,1e90ec4e-54af-41e5-bd57-54f25cd8fed5,NULL,NULL,NULL,49f5cba0-3641-43d9-8eee-69aa89f1c221,2
348885af-6015-48d0-aeb9-fb3d802675ab,"2024-06-28 12:38:34.003512","2024-09-11 08:57:21.247880",13,4680475f-358d-4cf9-a25f-9d1e4957a3c7,3029ae55-7ad6-4ab4-bbd8-3467d6701309,NULL,NULL,NULL,7313beb1-0c5d-4ee9-9c70-68abb1fded2b,1
36cec5a1-eb4f-498c-a915-f421255ed19e,"2024-08-20 13:38:13.964987","2024-09-11 08:57:18.794009",1,5e0a0ac1-0148-4c71-869d-073336264c5b,fede800d-5d62-4759-8476-ea493409b765,NULL,NULL,NULL,52cd51e8-108e-4b9f-b8ac-ab414480a59c,4
4938bab9-3757-41b3-9c72-d3e63df8353f,"2024-01-11 10:11:15.371658","2024-09-11 08:57:16.568143",103,a43f5255-e08a-400a-9512-f6d2536c506e,4df495e5-6844-432b-961a-661a30dc5380,NULL,NULL,NULL,33309e4d-c4fe-47d9-b5df-95499f0aa514,2
5cb2d0c6-3987-46a1-8a4a-4d04e067b32e,"2023-11-22 11:49:38.959558","2024-09-11 08:57:30.479330",128,efea4dfb-af17-411c-bf28-e42b390eebb0,d34dcaaf-110f-4083-96d4-d190b7054a57,NULL,NULL,NULL,dff79095-3188-4244-be8b-7a7a7fcd2c83,1
