id,createdDate,updatedDate,version,category,authorizationId,createdBy,nameID,profileId,commentsId,privacy,forumId
020e2ebf-f18e-475f-b5f1-7afbd339a99e,"2023-05-15 11:30:38.634053","2024-06-24 14:32:18.834527",5,community-building,cfde4f9b-9ec7-44a1-a509-4c414d665a09,4bfed890-b89c-4dce-baa5-7fbaf2470882,matrixsynapserelea-5071,67570898-07eb-40be-bbfb-3f429ad24c03,c92d5a5d-8c92-40a8-8d2e-b8dda48a381e,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
052d71b0-2ba5-47ba-b889-3d3fd16b10bf,"2023-03-28 12:41:47.497742","2024-06-24 14:32:18.834527",2,community-building,58f930e0-5b8c-40f1-a68e-4ef007b9d8f9,4bfed890-b89c-4dce-baa5-7fbaf2470882,test2-2342,c49b3b4e-db2a-475e-9e59-168509081925,74cd0842-621b-4641-939b-6d71762da3b9,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
0594c257-55b1-460a-8410-427423986572,"2024-05-17 09:13:13.364768","2024-06-24 14:32:18.834527",2,challenge-centric,7fc21af9-fb69-4cdd-83f1-a1efdeb44362,a286cfb7-7171-43e5-b95c-b445d8948ebb,supportadmindiscus-74,b4c037c0-d907-4b1f-a8f0-2c9b454f1163,ef90c221-4069-46d9-8555-df56331c85e4,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
1660680f-e702-4f70-a376-04c9d9bcdd48,"2023-03-29 12:10:52.549452","2024-06-24 14:32:18.834527",18,challenge-centric,66bd3dd2-72f7-48a1-9f35-af2a233770aa,4bfed890-b89c-4dce-baa5-7fbaf2470882,afterfixes-897,a25fb201-564a-4922-92bc-74b060ba3f94,7a07db75-2689-4b61-902e-1082e213cbed,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
185505cc-c26c-48b6-a335-50a7426ae265,"2023-07-28 12:44:26.204063","2024-06-24 14:32:18.834527",2,community-building,6eed86a5-e4f0-45ca-9b7d-39d796d25abb,4bfed890-b89c-4dce-baa5-7fbaf2470882,release-27-07-2023--439,ae78bd0e-63d9-42f7-aee4-f0471369e9b5,e3c8d484-159a-401c-89e6-284171b1fe9e,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
1b8e52d5-998c-45d2-9af7-104f0eefa657,"2024-07-25 15:09:11.257350","2024-07-25 15:09:11.000000",2,platform-functionalities,98f6406e-4435-4480-a151-24c632ea591e,3017ab10-07f6-4b5f-9c92-54ea2dc48cfd,testvc,660871b7-2782-4c80-bebb-d9c5dd2fd0b5,07ce3bba-db5e-4d95-830b-5fa53b829914,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
1ff9a2e7-318c-4b80-b66d-2eb07a80a23f,"2024-01-19 08:50:46.557532","2024-06-24 14:32:18.834527",2,platform-functionalities,1835019e-8e23-4860-a952-1c667c6c0df3,efea4dfb-af17-411c-bf28-e42b390eebb0,91-01-2024-1703,5d97a01f-f1b5-4fd7-b606-6c7d0e23150d,6d50094d-26ef-40a8-a36f-bdaf108921c1,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
24f2f513-0437-4431-a4ff-610db5ed88bd,"2024-01-15 13:29:32.449761","2024-06-24 14:32:18.834527",2,platform-functionalities,9dcd5de0-e804-45a0-a5c6-ede845fd55db,a43f5255-e08a-400a-9512-f6d2536c506e,checknotifications-9051,2dcaa993-9970-4a23-a4f7-05478402b2a8,f867f80a-3895-4ca6-b631-a8b1f3f29d2b,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
28e12270-31cf-4292-ab69-39aec4b62ace,"2024-08-29 07:10:56.787546","2024-08-29 07:10:56.000000",2,releases,52b37932-4d6c-484a-b41c-0d6a49d7fdc8,efea4dfb-af17-411c-bf28-e42b390eebb0,test77,f753e8a0-5a51-4689-8373-52e96faf7eaf,8b13acc6-d04b-46ad-a3bd-ff9450c8a141,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
33412176-f57f-4954-b09b-c3f470a7ef63,"2023-03-28 12:41:07.745110","2024-06-24 14:32:18.834527",2,community-building,bec54c23-e8ee-4e9e-8a28-bbf351f1b06a,4bfed890-b89c-4dce-baa5-7fbaf2470882,test-7284,dbcace45-7dc5-4c5b-a486-3f5785b3b8be,6a3fc70e-02fa-436e-93a5-c9a7f9a0c5f6,authenticated,507ed470-f34b-4719-95e7-09554efd08f5
