id,createdDate,updatedDate,version,credentialRules,verifiedCredentialRules,anonymousReadAccess,privilegeRules,type
02a6f521-0d46-48cb-8810-7957ea74893e,"2024-08-14 06:38:50.808080","2024-08-16 15:26:46.998401",1,,,0,,storage-bucket
02bea835-970e-46d3-84a4-44a26739bd14,"2024-08-14 06:39:24.308037","2024-08-16 15:27:33.004339",1,,,0,,template
069bde6e-31e3-45e3-a4ff-44045ebea0bf,"2024-08-14 09:04:07.867744","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
0aa18113-ad0e-4226-957d-8f1c8a3af3e1,"2024-08-14 06:39:23.992071","2024-08-16 15:24:37.895850",1,,,0,,tagset
0c673b00-6efd-4e9e-92cd-56ba6fa53c03,"2024-08-21 07:30:01.520267","2024-08-21 07:30:01.520267",1,,,0,,tagset
0e577b00-0cf8-412f-90dd-c2bb54ecfbc7,"2024-08-14 06:38:50.962385","2024-08-16 15:26:47.949768",1,,,0,,storage-bucket
1044c7a4-0dae-4aba-a3ec-3b6a52135585,"2024-08-12 08:10:26.149481","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
118d93a5-baff-4ff2-8b45-4ede5d7a03e4,"2024-08-14 06:39:23.999231","2024-08-16 15:25:32.431226",1,,,0,,visual
138d6912-2929-473c-9ab5-a583019b5961,"2024-08-14 06:39:24.620599","2024-08-16 15:22:35.182047",1,,,0,,agent
13fb553a-eace-42f0-bf49-e0c6c6ba36df,"2024-08-14 06:38:51.508773","2024-08-16 15:27:33.004339",1,,,0,,template
1548dc3c-44cf-4a68-8f75-b3af7797f9ce,"2024-08-12 07:35:09.283518","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
156ca0d7-42fc-41f8-80d2-4693ad6a60a3,"2024-08-14 06:38:51.516775","2024-08-16 15:23:54.439417",1,,,0,,profile
15748780-4612-40f7-a304-f7e6c211591b,"2024-08-14 06:39:23.520115","2024-08-16 15:27:23.293550",1,,,0,,templates-set
1645a285-ab90-4806-98a2-18273812d7d3,"2024-08-09 15:19:16.723176","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
16b08607-d4c3-4e45-a488-c7598797464a,"2024-08-20 09:41:49.356764","2024-08-20 09:41:49.356764",1,,,0,,ai-persona-service
1abae78e-790b-47c0-8e0f-e96f222368dc,"2024-08-20 12:07:24.421506","2024-08-20 12:07:24.421506",1,,,0,,tagset
1c3ee320-58ef-44d2-a13c-d6cf0f6dc17b,"2024-08-14 06:38:51.218262","2024-08-16 15:23:54.439417",1,,,0,,profile
1de444e3-5255-477f-a47d-d06851cf2fe9,"2024-08-14 06:38:51.448451","2024-08-16 15:26:49.739299",1,,,0,,storage-bucket
1e69dab4-1e89-4c77-92db-54528586c2da,"2024-08-14 06:38:50.868710","2024-08-16 15:26:43.245494",1,,,0,,storage-aggregator
1fc5f136-8b8b-4c75-bb3e-a64b6b7224f2,"2024-08-14 06:38:51.134432","2024-08-16 15:26:49.739299",1,,,0,,storage-bucket
201e7695-8eaa-4636-9461-0177282d6f73,"2024-08-14 06:39:23.664198","2024-08-16 15:25:34.014772",1,,,0,,visual
2320c104-4c36-44ea-b560-d2d2e0f4a0a5,"2024-08-23 10:54:31.863127","2024-08-23 10:54:31.863127",1,,,0,,ai-persona-service
260f4a8b-ef65-452c-ace8-cd24a9175f0a,"2024-08-20 08:35:14.905247","2024-08-20 08:35:14.905247",1,,,0,,ai-persona-service
27d4fe36-fbbb-4153-9a1b-fe5cb5e6b2c8,"2024-08-21 08:54:17.729861","2024-08-21 08:54:17.729861",1,,,0,,template
28c9bdd4-3203-456c-8aa0-a00a4bfb0f83,"2024-08-14 06:39:23.473106","2024-08-16 15:26:43.245494",1,,,0,,storage-aggregator
299bd350-1338-4a27-a978-8a91537d41a9,"2024-08-09 14:16:41.621030","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
2a5c38ac-8a33-4889-8b6b-7b097a3019b1,"2024-08-12 13:18:36.967467","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
2a947f08-f477-43d4-a679-e201d9f76891,"2024-08-14 08:10:52.734392","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
2cdc425b-8ada-48ad-8982-709a0165a7e1,"2024-08-12 13:20:51.957333","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
2d78a0d5-f939-4cf9-97be-4822dd707b79,"2024-08-14 08:42:32.525122","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
306a2d6f-7801-4ee0-971c-06699851495f,"2024-08-21 09:12:04.228838","2024-08-21 09:12:04.228838",1,,,0,,ai-persona-service
322f5b50-ccd0-4bab-9dde-b60a7677627b,"2024-08-14 06:38:51.379570","2024-08-16 15:25:36.753621",1,,,0,,visual
32e5132d-ceb4-4204-8506-9070ea4217bb,"2024-08-14 06:39:24.154677","2024-08-16 15:23:57.278154",1,,,0,,profile
32f7cf12-136f-46c4-8a8b-608e1f3aac9e,"2024-08-20 12:06:37.012171","2024-08-20 12:06:37.012171",1,,,0,,tagset
35a14b3c-bb30-4825-884a-6782297fa008,"2024-08-12 07:00:50.936654","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
35f82eb3-08c8-4f4d-817c-10aa2e41e4b2,"2024-08-14 06:39:23.410179","2024-08-16 15:26:52.427259",1,,,0,,storage-bucket
36b62f58-af79-4249-95e1-ed7fa8aec700,"2024-08-14 06:39:24.316874","2024-08-16 15:23:58.703860",1,,,0,,profile
3906fa73-5d83-465a-9700-264cf7595f63,"2024-08-14 06:38:51.595550","2024-08-16 15:26:53.432316",1,,,0,,storage-bucket
3a46a501-fa5b-449f-881f-f9b086381b7c,"2024-08-14 06:38:51.198822","2024-08-16 15:27:30.089538",1,,,0,,template
3f784360-5d59-418c-9b52-9410b004c96c,"2024-08-14 06:39:24.330837","2024-08-16 15:25:38.522203",1,,,0,,visual
425d19b7-7fb3-49fc-8920-4123d38b61b6,"2024-08-14 06:39:23.657402","2024-08-16 15:24:47.801372",1,,,0,,tagset
43ee2d1c-0765-488e-babe-15cf6ccd0538,"2024-08-13 14:27:56.377018","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
44462872-147d-4eb2-9f02-e53e3e561c12,"2024-08-12 07:16:57.678792","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
45646a64-f915-49c9-99c5-f0cde3b2c7b3,"2024-08-12 06:57:47.072652","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
471eed38-3578-4b86-b766-3a1e04d8231a,"2024-08-09 15:39:57.019965","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
4787a4e9-0c0d-42a7-bbd6-63763e20fa78,"2024-08-12 07:14:51.481469","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
5066e49a-ba40-4b5c-9681-40e31e03c480,"2024-08-09 15:06:22.566526","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
51927c85-3fcb-4a59-9c8b-e8d4fe019bad,"2024-08-20 09:25:11.823219","2024-08-20 09:25:11.823219",1,,,0,,ai-persona-service
5209c0ae-7cb1-439e-a7f6-4d5afccfa3a4,"2024-08-14 08:33:56.759687","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
537a14a9-69ff-4ccb-814d-b5b966ce3539,"2024-08-21 07:32:24.060085","2024-08-21 07:32:24.060085",1,,,0,,ai-persona-service
549dab07-3474-4c23-8552-97bb7067ba7e,"2024-08-12 07:45:25.649885","2024-08-16 15:27:35.935458",1,,,0,,ai-persona-service
