rowId,id,createdDate,updatedDate,version,triggeredBy,collaborationID,resourceID,description,type,parentID,messageID,visibility
670,3ef30787-8d26-455c-b781-ec8ca198ccc3,"2022-09-15 11:02:28.163231","2022-09-15 11:02:28.163231",1,0cbb9f1a-b538-403b-8646-14b9d1aa86f4,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: Lilliam Sonny",member-joined,NULL,NULL,1
720,433259e1-f490-475a-ad22-2106a63c4c4e,"2022-09-15 10:53:01.649133","2022-09-15 10:53:01.649133",1,e56d3eb9-d209-439e-b0e1-bb16903c2773,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,77f6370f-d17e-4b7e-95da-6bc3bf6f544c,"[Community] New member: Valentin Yanakiev",member-joined,NULL,NULL,1
770,46ff985a-84e2-454e-aa90-3e64027309eb,"2022-09-15 13:10:35.195744","2022-09-15 13:10:35.195744",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,87178f23-0f4c-4caa-989f-a88f2f06d7a4,"[Callout] New Callout published: 'HA callout - 23'",callout-published,NULL,NULL,1
792,493f08c9-432d-4602-a1b0-97645af524e6,"2022-09-15 13:17:30.195502","2022-09-15 13:17:30.195502",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,ae337800-92aa-41e3-9920-b58d4930a497,1d452098-ecd1-4a9f-b929-704c74fb9a83,"[Callout] New comment added on: 'dsicussion on challenge'",discussion-comment,NULL,NULL,1
1092,62571d5a-fb61-4f18-b16a-43d8dde8b850,"2022-09-15 11:23:10.624569","2022-09-15 11:23:10.624569",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,87eba309-206e-4830-8f2d-7b697e343813,"[Callout] New comment added on: 'Welcome, please introduce yourself to the community!'",discussion-comment,NULL,NULL,1
1124,65266245-b06f-4a4b-abf8-f6e0a437a5dd,"2022-09-26 11:48:37.445300","2022-09-26 11:48:37.445300",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,0ed80259-7df2-4405-99a9-91adb052c198,1f514d1e-30d5-49a7-bf99-1fa15f8589b4,"[Community] New member: Evgeni Alkemio",member-joined,,NULL,1
1143,66b9e2b2-98c3-4bab-b23a-346637d735ab,"2022-09-15 13:18:35.686100","2022-09-15 13:18:35.686100",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,ae337800-92aa-41e3-9920-b58d4930a497,1d452098-ecd1-4a9f-b929-704c74fb9a83,"[Callout] New comment added on: 'dsicussion on challenge'",discussion-comment,NULL,NULL,1
1166,6937496c-ccaa-4100-9ce0-a4f9a6f46696,"2022-09-19 06:36:30.450455","2022-09-19 06:36:30.450455",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,13b87345-395e-41b6-b3a3-283bf122d58b,"[Callout] New Callout published: 'test'",callout-published,NULL,NULL,1
1176,6a20cc47-c6d8-4761-9499-8e94cf767504,"2022-10-05 15:01:18.196185","2022-10-05 15:01:18.196185",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,a98d71c0-fdc3-473d-9644-97580bea6f57,485f7dfd-2a6d-4d76-88dd-44077024bdbf,"[Community] New member: como que",member-joined,,NULL,1
1228,6f4b3888-7099-4060-b4b3-ad9427e25cad,"2022-09-26 08:30:53.559161","2022-09-26 08:30:53.559161",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,a98d71c0-fdc3-473d-9644-97580bea6f57,485f7dfd-2a6d-4d76-88dd-44077024bdbf,"[Community] New member: Evgeni Alkemio",member-joined,,NULL,1
1295,74f7acc5-911e-4e39-9dec-6e1b6008a5d2,"2022-09-16 06:54:11.775703","2022-09-16 06:54:11.775703",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,cce99834-2b21-42cd-9e5b-88823a7ca260,9fb0f827-e658-4631-a5d7-7cb131b6290f,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
1351,7a180bf9-320c-42d9-a172-10dff5a3f62d,"2022-10-05 14:04:26.419073","2022-10-05 14:04:26.419073",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,9372686b-ed65-43ce-9344-698a17868c1f,4f568c1a-386e-4a1e-a45c-f4d8d6d96aca,"[Community] New member: como que",member-joined,,NULL,1
1392,7d43a578-2d2b-4ab7-b8ba-649715429f25,"2022-09-15 11:16:00.809034","2022-09-15 11:16:00.809034",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,77f6370f-d17e-4b7e-95da-6bc3bf6f544c,"[Community] New member: Evgeni Personal",member-joined,NULL,NULL,1
1458,828f2463-9f6b-4e8e-b5c2-a1af504990bc,"2022-09-15 10:53:18.943896","2022-09-15 10:53:18.943896",1,3d0ee84e-b702-425c-a8cd-5e8cd06991f2,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,77f6370f-d17e-4b7e-95da-6bc3bf6f544c,"[Community] New member: alex s",member-joined,NULL,NULL,1
1495,85c431a0-2c19-4f93-b7fe-e3927b3afff5,"2022-09-15 13:17:26.262893","2022-09-15 13:17:26.262893",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,ae337800-92aa-41e3-9920-b58d4930a497,1d452098-ecd1-4a9f-b929-704c74fb9a83,"[Callout] New comment added on: 'dsicussion on challenge'",discussion-comment,NULL,NULL,1
1541,89fdfce3-55bc-4b8c-b8b9-0c7c4e255db2,"2022-09-16 06:53:46.125457","2022-09-16 06:53:46.125457",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,edff5fd8-e75b-400c-a52e-036fce927836,be0e6bba-f359-42a0-85eb-218a0be653f6,"[Callout] New Callout published: 'Welcome, please introduce yourself to the community!'",callout-published,NULL,NULL,1
1562,8b90020b-46e6-4f2f-b04f-27b050cae426,"2022-09-16 06:53:59.502150","2022-09-16 06:53:59.502150",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,04debc50-3336-4d9f-8905-daccd140ae8b,2dfc5552-2e12-4049-9dbc-54d0e46c4e7b,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
1598,8eabd454-00ac-4beb-b93b-786cefa118ee,"2022-09-15 13:15:10.298019","2022-09-15 13:15:10.298019",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,ae337800-92aa-41e3-9920-b58d4930a497,b7ac73da-3d7f-416c-bc80-7ca5492af45d,"[Callout] New comment added on: 'Why do you care about this Challenge?'",discussion-comment,NULL,NULL,1
1604,8f87adc9-a68f-4cb7-9fe9-a611ea2115d5,"2022-09-16 06:54:09.189745","2022-09-16 06:54:09.189745",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,bfc6a8eb-3984-4c97-a7fb-177a4f2108c7,942405c4-1f6e-47c1-94e2-bbf3302f03af,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
1665,94aa2b85-89b3-4230-b4e5-aa00d52917ac,"2022-09-15 11:02:25.330730","2022-09-15 11:02:25.330730",1,e05a5738-014c-4c95-a57d-35f03da2d156,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: svetoslav petkov",member-joined,NULL,NULL,1
1667,94dc87c2-38f3-4091-b611-21049887c1cd,"2022-09-15 11:02:31.184233","2022-09-15 11:02:31.184233",1,e56d3eb9-d209-439e-b0e1-bb16903c2773,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: Valentin Yanakiev",member-joined,NULL,NULL,1
1670,951d90de-fcf9-45d1-91f7-aebb91c722db,"2022-09-15 13:29:29.856346","2022-09-15 13:29:29.856346",1,6a0f2ff1-839a-4da9-a8c7-fb266eb47599,e571ec2f-b087-4227-a96c-9910638c4b9d,eeea8e69-9c86-4a1d-83f9-6d9eeefc6567,"[Community] New member: Kathern Keira",member-joined,NULL,NULL,1
1701,97e8ed43-2f05-4a14-a818-1f226dbace96,"2022-09-15 11:01:16.342110","2022-09-15 11:01:16.342110",1,4bfed890-b89c-4dce-baa5-7fbaf2470882,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: como que",member-joined,NULL,NULL,1
1719,996d103a-d253-48ea-8e2c-176a874de620,"2022-09-16 06:54:02.160278","2022-09-16 06:54:02.160278",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,018ed9f6-8783-4a6c-942f-15fa93858572,121e6ac5-757f-4067-8a6b-3b6f41f46dac,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
1770,9df95ec1-07ad-4b4e-a71c-21aa10d470b8,"2022-09-15 11:23:43.888568","2022-09-15 11:23:43.888568",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,87eba309-206e-4830-8f2d-7b697e343813,"[Callout] New comment added on: 'Welcome, please introduce yourself to the community!'",discussion-comment,NULL,NULL,1
1851,a621d2e7-6175-4e2f-b407-2a9d2e2df4d0,"2022-09-16 06:53:54.372962","2022-09-16 06:53:54.372962",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,3413a262-8b2c-4e20-80e0-6908a5424b77,813c3d2e-335b-498c-ae4d-1296422eae9c,"[Callout] New Callout published: 'Why do you care about this Challenge?'",callout-published,NULL,NULL,1
1864,a7397bc7-d2c0-4f56-acb9-16d14211146f,"2022-09-19 07:51:53.116890","2022-09-19 07:51:53.116890",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,c046f3a7-f1ae-491e-ac73-14058cf67824,54a2e2b0-dfc7-451c-ad36-bed036b627f3,"[Callout] New Callout published: 'test'",callout-published,NULL,NULL,1
1907,ab3ea5fb-c710-4a47-9107-9b68357bd142,"2022-09-15 10:53:14.848718","2022-09-15 10:53:14.848718",1,0cbb9f1a-b538-403b-8646-14b9d1aa86f4,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,77f6370f-d17e-4b7e-95da-6bc3bf6f544c,"[Community] New member: Lilliam Sonny",member-joined,NULL,NULL,1
1945,af5c0981-1ca9-4d9d-8f47-cd1252b50462,"2022-09-15 13:29:18.376507","2022-09-15 13:29:18.376507",1,6e07519b-086d-4b6a-9d25-327c0164834e,e571ec2f-b087-4227-a96c-9910638c4b9d,915ac559-99fb-407d-ba21-fb0522bdc2a7,"[Callout] New comment added on: 'wow this release looks awesome!'",discussion-comment,NULL,NULL,1
2030,b6eab853-c8d5-4f22-be94-6705247ea698,"2022-09-15 13:13:51.112696","2023-06-27 11:22:32.967959",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,16be214b-93df-4cb6-a7a9-293feb0c2773,"[Canvas] New Canvas created: 'canvas2'",whiteboard-created,NULL,NULL,1
2144,c04fa25f-fc74-452a-a4f8-38e81b266372,"2022-09-19 07:47:47.462910","2022-09-19 07:47:47.462910",1,c39563e0-752f-4f53-ad19-6f4f926ae86c,ae337800-92aa-41e3-9920-b58d4930a497,5b8b635e-3f57-4419-9df3-75a369faed80,"[Community] New member: Evgeni Alkemio",member-joined,NULL,NULL,1
2174,c35ab7d2-f779-4bfe-8d22-16e4caabc77f,"2022-09-15 11:23:15.794630","2022-09-15 11:23:15.794630",1,d76aad8b-c176-4786-9564-eb17c3d70f1c,b41dfc0a-05ba-44c0-a1ea-834b17ea50eb,87eba309-206e-4830-8f2d-7b697e343813,"[Callout] New comment added on: 'Welcome, please introduce yourself to the community!'",discussion-comment,NULL,NULL,1
