id,createdDate,updatedDate,version,resourceID,type,agentId,issuer,expires
15a39b61-e05e-4496-8c06-ae48fbb09449,"2024-07-26 09:59:46.887595","2024-07-26 09:59:46.000000",2,,beta-tester,d6c72dd7-28a7-4ad3-935c-c6f5acfe2a0c,NULL,NULL
17129b81-eed5-462f-a2c4-1c981ae81933,"2024-06-06 08:35:09.240656","2024-06-06 08:35:09.000000",2,,beta-tester,02d2bb4e-4bcd-4197-983f-32501d6d4906,NULL,NULL
1888bb3c-d91c-4472-9b6f-50ddba2e1273,"2024-06-28 11:58:16.192163","2024-06-28 11:58:16.000000",2,,beta-tester,a43194a5-2694-47ec-9fe0-0ab77c7ecc3d,NULL,NULL
18a52a3a-2704-4a70-a47e-de290bbbe321,"2024-07-11 15:04:45.047385","2024-07-11 15:04:45.047000",1,,global-registered,4798d1e8-822f-4bf9-b95b-f80de3f1d5e9,NULL,NULL
190b3cee-7581-4133-809d-34b28fd3e7fd,"2024-06-06 08:35:00.866412","2024-06-06 08:35:00.866000",1,,beta-tester,bc731907-a54d-482a-a38f-444df9bba726,NULL,NULL
1a02fd5d-048e-4841-8c62-b68133a25d50,"2022-07-11 14:53:18.728536","2024-05-15 14:56:39.768207",2,,global-community-read,d54fabdc-5ff8-43a0-a912-d981bf0d64fd,NULL,NULL
1cd03e77-0241-4cde-b88e-35b281bb20fd,"2023-11-09 15:27:26.542124","2023-11-09 15:27:26.000000",2,,global-registered,985f0298-3b67-4f4e-9dd1-451d58da862e,NULL,NULL
1d7b6ce5-6298-4321-a733-a66506220bc9,"2023-12-12 14:46:56.565381","2023-12-12 14:46:56.000000",2,,global-registered,9388ae56-ee81-4133-82d7-ff72fae2d6a0,NULL,NULL
1eb61b81-f4fc-47a7-a365-061b7f779501,"2023-07-11 13:29:18.493372","2023-07-11 13:29:18.000000",2,,global-registered,2920a1e1-47c3-4222-aa71-735f496ca76f,NULL,NULL
2034aa61-602e-4942-9718-c76d7a6b2a57,"2024-02-09 12:39:08.305114","2024-02-09 12:39:08.000000",2,,global-registered,c248e31d-17f6-4c1e-9a2b-ca2b466ee8df,NULL,NULL
243c1c51-8c47-4b7c-82c3-047f91e94d6a,"2024-06-06 07:49:00.071665","2024-06-06 07:49:00.071000",1,,beta-tester,eccf5dea-e6e3-47f0-b4be-7a5e07d0c6bd,NULL,NULL
2493c6a2-8ecd-43f8-a3a3-6e5d92928139,"2023-08-22 10:09:33.087374","2023-08-22 10:09:33.000000",2,,global-registered,02d2bb4e-4bcd-4197-983f-32501d6d4906,NULL,NULL
2531a067-443c-4de0-9e73-c1f90e8feae8,"2023-01-26 14:20:08.264011","2023-01-26 14:20:08.000000",2,,global-registered,2074936e-5417-43e2-8fd8-8ef787fba9e6,NULL,NULL
289d8324-455c-4966-94eb-6b996045899c,"2024-08-12 07:31:48.522377","2024-08-12 07:31:48.522000",1,,vc-campaign,5de558b9-32b6-4762-ad8d-00039509c373,NULL,NULL
2907600e-8cc3-49cd-b1fc-60762b5a693b,"2023-08-03 12:41:41.217749","2023-08-03 12:41:41.000000",2,,beta-tester,9f58d09e-58f4-46ee-9284-9d20e9c01fd5,NULL,NULL
2aa093d3-ffad-4d7f-a026-74911268c546,"2024-08-12 07:30:51.154492","2024-08-12 07:30:51.000000",2,,beta-tester,d4364660-ea32-4856-9a2b-b586d4b440d8,NULL,NULL
