id,createdDate,updatedDate,version,innovationFlowTemplateId,authorizationId
000a2230-57ed-4b0d-9cb7-fa83ab336a80,"2024-03-11 08:37:14.476590","2024-03-11 08:37:14.476590",1,15a289ed-c9a4-4f97-9104-bd50464d78f0,7126f03d-7bf1-453d-84c5-181f21d5188c
068ac391-2348-453c-b6c4-305ed92e8ff6,"2024-03-11 08:37:19.343426","2024-03-11 08:37:19.343426",1,a2f8437b-22b3-46c5-8692-e0679a695912,efe68be9-d816-4821-843b-d4781f66df7d
07a0fcf6-d0bc-4351-b0a2-e1a76812359a,"2024-03-11 08:37:19.727877","2024-03-11 08:37:19.727877",1,99430a73-9d42-4832-8932-db6881e82baf,9d49e8f1-7b50-4486-9996-16a18598a610
083d47a2-fc6f-4270-b2fe-12d10691ede3,"2024-03-11 08:37:14.006977","2024-03-11 08:37:14.006977",1,285b0300-004e-4f8b-b5f0-18331b46e0eb,0f680232-8b54-4d9c-a532-b84ffc0e64ea
088961cb-e4ab-404c-b527-7fd91330d7ec,"2024-03-11 08:37:12.342052","2024-03-11 08:37:12.342052",1,290f9ee7-3d18-466b-b3ef-9a775a8178f2,d95a51f2-931e-4bbb-8f5d-349cd79792d1
0da7ac2f-dcdb-4865-97f3-77c90eaa6a64,"2024-07-01 09:21:48.842050","2024-07-01 09:21:48.842050",1,c6e41ab7-6ef2-4907-8133-ef591357f9e1,2286e6c3-08dc-46a2-93ca-9b8047f1329e
0e6b3ea3-5361-4e0d-8c70-a017e1d5a666,"2024-03-11 09:44:13.263797","2024-03-11 09:44:13.263797",1,b5cbfe09-7540-4786-921c-3074fd7ffe3f,79be756d-b5ba-4774-ad0a-a0ddba24d78d
0e99ac57-5d72-40d9-9fed-f69137f25fad,"2024-08-29 08:41:39.422538","2024-08-29 08:41:39.422538",1,6586e5cd-7719-4319-b328-fcccc11f2dec,3a9264fd-70e8-4d5c-9e68-dbfc13679f78
0eec5c66-cd36-4a2b-b605-4accb90e1c49,"2024-06-18 13:24:17.261914","2024-06-18 13:24:27.000000",2,3df5f8fa-ab3e-4956-9692-b49dba8f32dc,1e23de11-3406-4f78-8085-5a0f32cb3533
0ffe8f46-d789-4e24-8976-fb7e7347fa31,"2024-03-11 08:37:14.627929","2024-03-11 08:37:14.627929",1,1e27b889-bfd5-4eb1-be07-14ee5acd16d7,b9ab43cf-8db8-491b-a45f-6639b06fd478
13caad4e-92f1-4b30-a587-b3457633f7dd,"2024-03-11 08:37:12.782760","2024-03-11 08:37:12.782760",1,3d982cc1-4cec-4a6c-8370-b0765f298509,6251e9be-f2c8-4849-8a09-62a204f3c084
140f3620-83fd-467b-b33f-f510402c0e89,"2024-03-11 08:37:19.947849","2024-03-11 08:37:19.947849",1,05fbb43d-05df-4498-b23e-7365b7d5d92e,50ff7346-8d6e-415e-bfe1-2fd0d49a8b92
15525f01-5e61-44b1-b988-41cd1762472a,"2024-06-28 22:12:56.709907","2024-06-28 22:12:56.709907",1,021eb4e8-cc0d-405c-a65b-149b0142a3a6,e2fb0042-78f4-495c-8c2d-fce74b7aa963
15a5faef-78d4-4f37-8fc7-71e20c5a82f2,"2024-03-11 08:37:12.863311","2024-03-11 08:37:12.863311",1,83c6d54e-ea4c-4868-a2b6-92e0c262a7b2,4e7c77b6-63c2-4a30-8b59-b5739ee83598
168cafcd-5446-416b-858a-07ef78bbbcbf,"2024-07-08 10:35:51.675414","2024-07-08 10:35:51.675414",1,160e60e1-0bcb-4ae0-b565-56f78d82dcc2,013cbe94-7e92-402b-8d34-158cfaa1a5a9
16e9869d-db7f-45bb-93c8-bbc4e6dc2659,"2024-03-11 08:37:18.131927","2024-03-11 08:37:18.131927",1,0ee54fc2-7c45-47da-b273-c438729b9bce,9a0ec415-35f3-4332-9181-49bef6912455
