id,createdDate,updatedDate,version,authorizationId,allowedMimeTypes,maxFileSize,storageAggregatorId
015cb56a-0359-49a6-afcd-cc91acb703ab,"2024-03-12 15:56:02.562366","2024-06-24 14:31:59.346830",1,01e285ce-c149-4ea6-a070-0a46ec0caca3,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
0188f86f-cf9f-49ec-85ae-bb822fcb7542,"2024-07-08 11:19:38.638628","2024-07-08 11:19:38.638628",1,a16eace1-c1b0-4ab8-b56b-003445efca7e,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",15728640,NULL
01c2bc83-3abd-4e17-9f91-20e5efdf84d4,"2024-06-28 09:03:49.570274","2024-06-28 09:03:49.570274",1,55a0d642-035e-41ef-95cc-5f238026aa5e,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",15728640,NULL
01cece22-69ac-4506-ab4e-3b4451706870,"2024-07-19 10:21:47.736512","2024-07-19 10:21:47.736512",1,6538f231-1242-47a8-87a0-aae8565bb799,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",15728640,NULL
021f2295-c461-419e-bd2c-52486c38e450,"2024-05-17 15:27:15.421603","2024-06-24 14:31:59.346830",1,0b7e2ddd-8076-405c-b30e-a162d67c68b3,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
024fc59f-b01d-459e-80ed-602c29ed8a66,"2024-05-16 13:05:53.146737","2024-06-24 14:31:59.346830",1,87f6adde-4714-4f81-b371-54a0987b9e80,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
02f7b44e-9137-406a-a31c-9a05fcf46bbb,"2023-08-03 12:30:58.505577","2024-06-24 14:31:59.346830",1,c7921485-038f-4fb9-916b-588ee4df8e0c,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
03586512-8a8d-47f1-b94d-b6ecec11c18a,"2024-06-10 13:31:33.127322","2024-06-24 14:31:59.346830",1,b0b8583c-e581-417d-907a-8ef50ea07e8a,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",15728640,NULL
035b3902-d1fe-4ae6-b06c-33c5914515a5,"2023-05-11 11:38:13.422054","2024-06-24 14:31:59.346830",1,325f57ad-6078-41f4-a0bd-a099341ceea1,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
039c489b-e013-4d56-af50-c4877410eba2,"2023-09-20 14:46:39.460690","2024-06-24 14:31:59.346830",1,2954d9b6-579b-41d6-b07f-ec5ae9a9e26c,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.oasis.opendocument.spreadsheet,application/msword,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.oasis.opendocument.text,image/bmp,image/jpg,image/jpeg,image/x-png,image/png,image/gif,image/webp,image/svg+xml,image/avif",20971520,NULL
