id,createdDate,updatedDate,version,authorizationId,parentStorageAggregatorId,directStorageId,type
00b24cc7-113f-480b-8b0f-fddf413b137c,"2024-05-30 10:49:00.622876","2024-08-16 15:22:04.082137",1,4de6ed41-9b74-4a6e-8deb-42ff36c6061f,NULL,68b394c7-ce58-4186-924e-f9c47df455eb,space
00b7c488-1548-46c7-8891-333d1cedc2ea,"2023-11-06 14:19:13.199564","2024-08-16 15:22:31.689216",1,ac8260e5-0a77-42ac-810a-eb972898c5b8,NULL,600572a0-0fc7-4f61-83a0-4f2bebec2465,organization
0127d7b9-402f-475f-a114-2031801a3fed,"2024-05-09 09:21:47.773664","2024-08-16 15:22:04.118466",1,81cc8f1f-d220-4fe1-b909-677bcc51f7c7,NULL,4efd8d53-62df-4c68-9b0c-6208dead1ca0,space
01504236-be00-4cc7-a936-4760c3f51bf1,"2023-11-06 14:19:13.005569","2024-08-16 15:22:31.718474",1,1b532ae3-313a-46cc-9d32-a6af18f8e72d,NULL,412cc584-5cb4-4d87-82b0-9ccd40fc3afb,organization
01a2dcd9-581a-4f1c-872d-2edfba8114de,"2023-11-06 14:19:45.813721","2024-08-16 15:22:04.148589",1,c1199e1a-3d0b-4f4a-bd41-5424487d6c2c,08bc9cc7-7ae6-426a-b40a-150044cff3e3,3f9797e3-aae3-4312-a476-f766db37a3e6,space
01df2226-590c-4e47-ad43-4c7694b1f426,"2024-07-19 07:49:06.137171","2024-08-16 15:22:04.180034",1,179113cf-5d25-4a4a-9a44-29277f4b838c,2a164852-8ab4-4f27-83d2-755b34934b9b,a7cd506d-0d2b-448c-8dc6-e1512446131d,space
022d92e7-a8ce-4e39-8c1c-605ab92c33c2,"2024-06-28 14:11:56.808935","2024-08-16 15:21:57.203889",1,337d22df-8d3d-424d-8660-32d3eefbf54e,NULL,d8e9c4f0-6cd4-4f27-b085-e85494c74851,account
02707e2b-8969-4810-bb86-dbdb8a2b58dd,"2023-11-09 15:27:24.798838","2024-08-16 15:22:26.569123",1,47e1ca42-c481-4b4c-a5db-1ec96839ad9a,NULL,4e01e7f4-b530-4849-ba74-005c82394f73,user
02943950-4cf0-410a-ba6c-abd3e98d4f56,"2023-11-06 14:19:14.549680","2024-08-16 15:22:26.601156",1,9861ca5f-e860-4e5d-b10c-9a36f4988a81,NULL,1f323dbc-4158-4a96-a74f-e5d5e8f3d272,user
029f8924-dd9a-43bf-bedb-98eb3b8094aa,"2024-07-01 07:38:54.680612","2024-08-16 15:22:04.212680",1,fad1a67f-a623-4fde-bb19-d684f0983352,7f5e90aa-de22-4090-a10f-6c7998a84cc5,a442b3a2-f441-4f77-8d52-af529e3656e1,space
02cdb74b-668a-4a73-9629-38d86f6907e0,"2024-07-08 10:37:06.668338","2024-08-16 15:22:04.251440",1,0607ec3f-dc1c-4943-9f1d-78616b77def3,21f04138-6b7e-4720-89b2-0cc703cfa132,d3e0f55b-a481-4f6c-8f1c-7c2e626618f8,space
032160a2-744c-4c64-a26b-b1cc18e51487,"2023-11-06 14:19:38.606631","2024-08-16 15:22:04.281455",1,329f9cd2-25d0-4013-95d0-80d39add83dd,bb0a5c19-e6e8-404e-800a-6f3969845cac,fdb3e3e2-5ca1-4073-9264-ec6ba4c95fa8,space
0346f107-feb9-40ff-a050-f0320ef5a927,"2024-06-26 09:17:00.445871","2024-08-16 15:22:04.312506",1,065b6e5e-c745-46e8-b570-e9dfd75e8feb,790766b7-f4e5-4ff8-816c-fdbdc7deb8c2,589d2bb4-4096-468b-9d08-49ed33be370c,space
0369c601-d654-49ab-afda-b6cb9a6a69bb,"2023-11-06 14:19:36.740256","2024-08-16 15:22:04.348494",1,bb667c36-d7ca-4336-b296-7ae155a8b053,ddf61c52-13d2-4eac-b1ff-006e94f00a02,7f5f6eff-bd0d-4762-8170-8377131d113b,space
03a42835-9096-4e4c-bf52-a026baa747f8,"2023-11-06 14:19:53.235008","2024-08-16 15:22:04.380799",1,627d1617-958d-4392-8617-028b445fd1b0,b13d5f00-3c05-4852-bbc4-619653d760f4,3405698b-e639-4106-a70c-ac429ef9a3e5,space
03a44a8a-faf9-4a25-bda1-5ec33c263ae7,"2023-11-06 14:19:29.385836","2024-08-16 15:22:04.411916",1,f4e28560-5c9e-4171-9271-40e1c41ea6f5,5dd2a2fe-7fe2-4ddc-8c00-ad772a94a03d,ceffb0b6-9e79-411f-8162-bdaa39534397,space
03b04d11-962a-427f-8da5-45ee3ab8896d,"2024-07-11 15:40:35.651453","2024-08-16 15:22:26.632112",1,ffcd0788-d818-4627-bf6e-cf987e82fe63,NULL,b3327574-f215-46e9-a468-25952cf1e176,user
03d97856-3d34-434b-831a-7c81cf2bdaff,"2024-08-27 14:18:13.122700","2024-08-27 14:18:13.122700",1,d3c263a4-9783-41da-8328-b436fe4f95ba,NULL,39439a1b-55bd-47dc-96cf-9673a446be26,NULL
03fc11e8-5ad9-4907-8075-492713f6a9e0,"2023-11-06 14:19:14.740285","2024-08-16 15:22:26.666329",1,499cb92b-326b-4b77-87ae-6795c372407b,NULL,3d18b79b-c17c-46ad-a57b-0c9975039ddb,user
0427a44a-3aea-48d2-814f-8bf3e371d958,"2024-07-05 13:59:48.398021","2024-08-16 15:21:57.264065",1,79b53b6e-c2f6-4a69-91b5-3fd7f8e7437b,NULL,d3016ae3-d51c-413b-b4ab-19eb08ab3859,account
0428e0ea-d9f3-4c9a-87fe-455991677295,"2023-11-06 14:19:13.859122","2024-08-16 15:22:31.748692",1,4703fd49-bb46-496b-bf15-612f8fa59726,NULL,ac22402e-f447-4eac-9e63-e2c2b1396f93,organization
04438011-593a-4e45-91e7-37db378d1a3a,"2023-11-06 14:19:39.983059","2024-08-16 15:22:04.450103",1,84312baa-56ca-40be-86c7-646749e464da,32158d2e-eec0-4f13-b59d-2a0fc927cce3,5db89069-6d20-449f-9460-cbef9a3d8777,space
0449d61d-5f38-4e58-922e-72064bb84f8c,"2024-07-19 10:25:50.008043","2024-08-16 15:21:57.294530",1,9d59f579-07e7-49ce-995d-b9972bff415b,NULL,e71a106c-bb8e-4655-b752-dfb6761da1d7,account
