id,createdDate,updatedDate,version,name,tags,authorizationId,profileId,tagsetTemplateId,type
0003e433-1a3c-4413-b04f-2cf982a4dbb3,"2024-04-10 10:48:40.402518","2024-04-10 10:48:40.402518",1,default,,cfa3e678-ef9c-47de-b870-8c9ccc82ebea,d823a03f-4a42-4fe5-a6ce-c225475d1d66,NULL,freeform
000bc916-f708-4d17-9624-cbcdac6892ed,"2023-07-11 13:16:35.531311","2023-07-11 13:16:35.531311",1,default,,63554d38-9d0a-4a1f-aad8-f0819c546137,NULL,NULL,freeform
000d5d03-b5ed-4e9f-b8d0-f1440a12da82,"2023-07-28 14:18:12.772541","2023-07-28 14:18:12.000000",2,keywords,,0c65bc9f-f751-44bd-a122-f8a8b7d8b7fa,97d81bd2-fbc3-48db-ab46-69f574b7e79e,NULL,freeform
0020454e-dd0c-4b4f-867d-dfe02b6eb7c6,"2023-05-11 10:20:29.499241","2023-07-10 12:33:27.283806",1,default,,505df5da-f857-49f1-9195-2e4f3021564f,NULL,NULL,freeform
0020acb2-3933-4379-875e-83605f29f582,"2023-12-05 17:23:39.039178","2023-12-05 17:23:39.039178",1,default,,4f680470-44d7-4fcd-99dd-0402e00c5aab,NULL,NULL,freeform
00220236-0d38-459b-aa96-b845ef187210,"2024-03-12 12:45:14.187047","2024-03-12 12:45:14.000000",2,default,,33c1b32d-921f-4377-aa15-d1864f7e6ff5,cef5a9c9-45a4-4f5c-988a-8aa451d1bae9,NULL,freeform
002617d3-71e5-41bf-824c-a8a6a4ad9138,"2023-07-11 13:12:10.798859","2023-07-11 13:12:10.000000",2,keywords,,efa6655b-8620-418a-927e-ec900740ffe0,564752db-e4b7-4407-818b-068f662362b6,NULL,freeform
002871ae-18e0-4785-82e0-35467f8a7632,"2024-05-17 13:40:19.935933","2024-05-17 13:40:19.000000",2,default,,fec3f5d2-2fe4-4b1c-a76c-4791d3919a3c,659f4af4-5759-4bd7-aa56-fb3902d1aec5,NULL,freeform
0031fda2-32e7-4685-80c4-ab8fd1561324,"2024-05-17 13:45:11.323584","2024-05-17 13:45:11.000000",2,default,,0dc170cb-97bf-4936-bc8f-ef6b3723e253,863eed9d-7d34-4afa-a6d7-f765e1de4668,NULL,freeform
003231f1-0835-4639-8cbf-61dce2425e5c,"2024-05-20 10:40:06.048658","2024-05-20 10:40:06.000000",2,default,,4b674d70-fa6e-44ea-84db-8519d43604f0,d1de3bce-c400-4e13-8f18-2e6483714ea2,NULL,freeform
00331891-2bdb-46ae-9ee9-51ee201ee607,"2023-11-06 14:54:05.300427","2023-11-06 14:54:05.300427",1,default,,0547ed4b-51a9-4dcd-823b-6731394f3eaa,NULL,NULL,freeform
0036aa2d-54f6-4c88-a30e-0fc64083879f,"2024-05-13 07:50:01.339742","2024-05-13 07:50:01.000000",2,default,,94487fcd-51cb-416a-8101-e9cc887a4cd5,4601b48e-aef8-4747-a899-c7968b4de4a8,NULL,freeform
0038e2a8-fa8d-41b9-b5a5-b9ceb5529405,"2023-02-10 16:53:17.792865","2023-07-10 12:33:26.484902",1,default,,46339169-032a-4da4-a473-7798ce964db2,aa1e6f6a-f7ec-4aa6-a044-56f004c33f6d,NULL,freeform
00409f6c-8c3f-4ff9-a697-16c96be63993,"2024-07-25 14:40:21.933059","2024-07-25 14:40:21.933059",1,default,,a3b657ca-7a85-4aa6-a6c5-7e2d235c1d83,NULL,NULL,freeform
004523c3-07fa-438b-9914-e35b6777538e,"2023-12-18 12:59:39.149320","2023-12-18 12:59:39.149320",1,default,,1d9f7292-bea4-4c29-9f91-14ef5b65b2ff,NULL,NULL,freeform
004706c9-00d9-45f5-be62-7a0e11e3724a,"2023-03-01 14:41:16.064377","2023-07-10 12:33:26.210523",1,default,,41554ba6-aaef-4f71-9379-9b4e19738d37,a5733fb1-e631-46be-ba7c-beeb34b229a6,NULL,freeform
0052d7a6-52f4-4d43-830b-2834e2760dd3,"2024-02-20 15:56:23.556490","2024-02-20 15:56:23.000000",2,default,,ff4f028a-a15e-4e46-bef7-5f088acc374f,b0e17b99-0d3a-4291-9167-4c57ed50e881,NULL,freeform
0052d89e-f606-48a6-975d-9119d4e70cf0,"2023-04-06 12:15:46.000000","2023-07-10 12:33:22.883239",1,default,,12b6e858-d80d-46f0-bbf9-dca2326f8881,4906bcd3-8368-44a8-a42e-d2aa5db704fd,NULL,freeform
0064a31a-f121-47d1-96e4-777777a372c8,"2024-07-01 07:37:19.903278","2024-07-01 07:37:20.000000",2,default,,fcc45ed3-efa8-4e6f-bb30-d37969f17619,a6968164-b5ca-4abd-b469-f8f65ae5eabe,NULL,freeform
0066f6ac-bb5f-405c-9a14-be7c919c7937,"2024-04-08 10:25:37.446404","2024-04-08 10:25:57.000000",3,capabilities,Search,94033ee1-5432-4c97-b8ee-996fb6498c26,c751be9a-25fe-40b4-8a7f-903a8e375518,NULL,freeform
006b2c2c-e6f4-4328-8a57-33638bd107cb,"2023-08-30 14:47:12.235798","2023-08-30 14:47:12.000000",2,default,,637f69a5-5900-4419-953d-38a2e3430544,2ea443f4-bfc9-4e17-aef5-975762464d7b,NULL,freeform
00704b46-a93b-4bf4-be7f-aeb8f12cd9a9,"2024-04-08 09:21:48.632870","2024-04-08 09:21:48.000000",2,default,,27198561-2fff-46a7-a09c-3ba4adb2b52f,8815b9f8-94ea-42cc-b62c-5429e99c1ced,NULL,freeform
0072720d-f007-40de-b340-4125e85c9bc9,"2024-06-06 07:50:25.078049","2024-06-06 07:50:25.000000",2,default,,b3d5e3d0-9732-4c78-8336-fbf8df9dcd70,4c36f825-3cdd-400e-b2ba-fe5c8e84cace,NULL,freeform
00878c83-6125-447e-a4df-6495ff3b94b8,"2023-08-21 08:26:09.599203","2023-08-21 08:26:09.000000",2,default,,b6a05d62-a614-44e6-9f82-4e85b3e83f3b,2312d98d-7930-464f-b653-154f3b0246b9,NULL,freeform
008d4fe4-70d3-4c36-a96e-a3ba96f2f55f,"2023-11-09 18:44:36.745951","2023-11-09 18:44:36.000000",2,default,,85129e22-8f4b-4c5f-9aeb-e991f53d347f,5746e83b-1446-47be-8146-955855004d65,NULL,freeform
008d9839-499e-4e40-8f83-e3fc6902ca31,"2024-06-18 10:48:42.030767","2024-06-18 10:48:42.000000",2,default,,f6febbe9-caef-4688-88bf-22e531a1f761,9600b2db-a46c-46e9-b3c4-e05150bb12d2,NULL,freeform
0093b4ee-c6e5-449b-8313-ae130ab0d8c0,"2023-06-14 15:12:13.982251","2023-07-10 12:33:31.155134",2,default,,873d54ef-911e-4c93-8b07-ab78740c0f44,c8d1199e-171c-4424-8682-4826bb55dcdf,NULL,freeform
0095b065-fb3d-4c83-823c-757b15b2eb85,"2023-08-16 12:03:42.482337","2023-08-16 12:03:42.000000",2,default,,bd4b4f35-59c3-4498-9f30-1c5105dc8186,06971228-51b2-44a5-937a-97a69603df4b,NULL,freeform
0098d4aa-a1bb-4486-aa13-59aa19294a26,"2024-06-05 09:36:59.690010","2024-06-05 09:36:59.000000",2,default,,6f7dca34-ac82-426b-8691-dd6c24a7e212,a6edafdc-0f68-4de8-abe3-ea2bd6ca5cfe,NULL,freeform
