id,createdDate,updatedDate,version,resourceID,type,agentId,issuer,expires
00067b20-c90c-4c79-a9da-91426a19f1fc,"2024-05-20 11:26:17.162466","2024-05-20 11:26:17.162000",1,e7540ac9-bbbc-4a10-9172-e1ec47668b3e,space-lead,2097777d-b6f6-47e2-9068-449cd5b31b5c,NULL,NULL
0011906c-63a0-48e1-8b6f-71553d0759e2,"2024-04-29 08:26:11.471154","2024-05-15 14:56:51.801607",1,fa1dd957-c619-4449-b8ae-ee31762dfea5,space-lead,2097777d-b6f6-47e2-9068-449cd5b31b5c,NULL,NULL
002508e3-268c-40e0-aa2d-7ca9f8429598,"2024-08-13 13:43:13.579562","2024-08-13 13:43:13.579000",1,8103f941-7d66-4d04-8b18-427fde00f948,space-member,8b972530-21fd-45c9-a569-d02c8c744d39,NULL,NULL
00365f95-793f-4cbe-a920-22bfe82fc377,"2024-06-03 08:55:49.401000","2024-08-28 15:09:44.295186",1,5a861fa5-9eda-4da5-a398-85e617994b30,space-license-free,d24f1b15-9b71-4834-a24b-2994fa0775ed,NULL,NULL
0037c0ef-9c91-4348-8871-20e40bc2abc0,"2023-08-31 12:01:40.052334","2024-05-15 14:56:51.801607",2,3bc43c86-c793-469b-ae60-270a711783c9,space-member,b7080996-46c3-4ebd-96ff-24580c924533,NULL,NULL
004b8408-cc13-40a0-b34b-8ea73633fbbe,"2023-08-22 09:49:23.768471","2023-08-22 09:49:24.000000",2,e4c05efe-e433-404c-b150-81eb6ae10a77,space-member,b7080996-46c3-4ebd-96ff-24580c924533,NULL,NULL
007d76be-dd26-4cb8-bf7e-b6b7098a8617,"2024-04-30 19:16:10.500113","2024-04-30 19:16:10.500000",1,ca085ad7-bcdb-4e37-93c1-d2cd9866fc8d,space-member,8b972530-21fd-45c9-a569-d02c8c744d39,NULL,NULL
00803bbc-8346-4e40-8641-1bfdc1aee01a,"2024-05-17 06:40:01.022967","2024-05-17 06:40:01.022000",1,8837a2db-ce7f-407a-a9fc-2d7e2200208a,space-member,8b972530-21fd-45c9-a569-d02c8c744d39,NULL,NULL
0084a93c-19d8-401b-ae9d-aa60775102dd,"2024-09-02 11:24:00.108315","2024-09-02 11:24:00.108000",1,1cb2e88a-a6da-4e97-bc24-6f4c6bfc0a43,space-member,97a901f6-8c97-499d-91cd-fddfc34b11be,NULL,NULL
0090f554-6d2c-4b87-bc26-e0dff36f6175,"2024-03-07 08:58:46.409755","2024-03-07 08:58:46.000000",2,b0212278-3d45-4bc6-b109-7eaf6dceb08c,organization-associate,446dae46-bfcf-4fb2-b408-69be56abd40c,NULL,NULL
00923af5-37d4-42f4-920e-313d3afaf993,"2024-07-05 14:32:34.679663","2024-07-05 14:32:34.000000",2,d60abdae-10fd-4514-aebe-4a4a5e60a6ce,organization-admin,416edd99-4a87-4cbf-8718-e0cb1447c9c3,NULL,NULL
00aea372-451a-4e78-ab80-2dc19e74040f,"2024-02-20 16:04:13.491481","2024-02-20 16:04:13.000000",2,1a7485b7-d025-4306-a87a-9ec79b33cf68,space-member,ea2f0bba-e1f9-4462-b911-a2fff8876323,NULL,NULL
00b2cbe7-77b8-4ce0-a626-b7b3a5907002,"2023-07-11 11:07:27.651238","2023-07-11 11:07:27.000000",2,,global-registered,91d1a356-e09b-4096-95aa-c75c5da70c68,NULL,NULL
00b3301f-4f60-45d3-9152-e242fd5b8c29,"2023-07-11 13:09:47.496151","2023-07-11 13:09:47.000000",2,c3c3cc60-065a-4873-bf0b-fd4d6e371455,space-member,416edd99-4a87-4cbf-8718-e0cb1447c9c3,NULL,NULL
