id,createdDate,updatedDate,version,nameID,type,visibility,authorizationId,commentsId,collaborationId,sortOrder,publishedBy,publishedDate,createdBy,framingId,contributionPolicyId,contributionDefaultsId
00097a56-5a31-46d1-8323-f0ba9d5529d5,"2024-04-17 10:53:01.448345","2024-08-09 08:37:03.000000",97,proposals,post-collection,published,0f3ea9e6-5f18-49b9-b7fa-637923bddeef,NULL,ddc77db1-65cc-4656-8190-3f5ac0f13586,1,NULL,"2024-04-17 10:53:01",efea4dfb-af17-411c-bf28-e42b390eebb0,8ad07f4d-bf22-46c1-8513-ce0922a52190,6b444086-779e-4877-9e69-84e3f802414e,73e04c4e-f9cd-4064-8dc5-426f8dec8784
001578a3-917a-462d-bdcc-9c6d39c9a238,"2023-01-12 11:18:26.574255","2024-08-09 08:37:47.000000",600,collaboratevisually-7286,whiteboard-collection,published,2d79fbf8-a9d6-4a0f-a9ee-746d7562b399,NULL,7dd27a55-e3a4-41a9-9dc1-9c0a7a49086d,10,NULL,"2023-01-12 11:18:27",NULL,573844f4-3224-40b6-8bcc-b04ec6418c9d,ba665396-2e82-4a65-80a0-8d4ab02b143e,fc5cfabb-bbb9-498f-9108-be479ddd87d2
002a8906-a5b6-458f-a634-f598870cb8fa,"2023-08-21 12:02:36.405390","2024-08-09 08:38:20.000000",177,stakeholder-map,whiteboard,published,4b232fca-df0b-4f8e-a63e-409d9513ce59,NULL,5475941c-ff57-4619-a3dc-9d4034ad6f0f,2,NULL,"2023-08-21 12:02:36",4bfed890-b89c-4dce-baa5-7fbaf2470882,3e14af93-1ce5-4d32-8e52-551a6e7536b3,d1a01040-046a-4334-b8b6-607ba174b34f,39c75cca-1837-4265-af8f-774091693e81
002b3d7e-fc6e-49f4-b4ce-cf3950649715,"2023-05-03 14:45:40.950015","2024-08-09 08:38:27.000000",375,link-collection,link-collection,published,17ff54e5-be71-4833-b511-da522972f7ad,NULL,5cb8c90a-f0be-4300-8705-4a2b79e6b795,1,NULL,"2023-05-03 14:45:41",NULL,a020936a-4ce3-47e5-9ab4-fa3b258b592b,e9c4a23f-0359-4209-ab1f-9375bbfc446a,5a3788ef-679c-427c-920a-a221603ed3b2
0046389f-666f-4a8a-a671-160cff42341e,"2023-01-26 14:05:12.319721","2023-11-06 14:18:00.383593",380,suggestionsquestio-1433,post,published,25955ed2-4a4a-4446-b657-0052cb5a9f0e,1de38be8-55b8-44b1-81cf-a262ef2ad252,8f3ed3c6-114b-4f2c-a57d-5c44fc7ecca8,3,NULL,"2023-01-26 14:05:12",NULL,fe8faa66-49fa-4d69-8196-ddfd94d57c68,a3cc6597-a80f-4c25-988e-b1ebd7e9dcb3,d38f29a8-fbfc-45be-a282-d2239e36cae4
004fd656-6014-4d44-97b2-312ab98cb58c,"2023-02-10 16:45:31.889725","2024-08-09 08:37:58.000000",341,111-7234,post-collection,published,72c35f50-73ac-4ac0-8588-0fe4dd348519,NULL,70f61282-954c-464f-9241-374c1c9e2fa3,10,4bfed890-b89c-4dce-baa5-7fbaf2470882,"2023-02-13 08:41:22",4bfed890-b89c-4dce-baa5-7fbaf2470882,5fa38aee-7bb6-4ac0-9b41-7284fdd5e57b,38df2066-3895-4c72-8cd2-e17e3cf8153b,8ce17dd4-a1f7-4bb3-98dc-ef89ce322025
00574751-0c6f-4fdd-9ef2-e0dae1bc82d1,"2023-02-16 14:33:53.223164","2024-08-09 08:38:07.000000",459,release-16-02-2023-c-4184,whiteboard-collection,published,086afe1c-25bb-4586-98fe-fb4bea063b40,NULL,d59285e6-4d95-42e2-a491-bbbca04fb51d,10,a628b667-3131-4c66-863f-f1c07ada5ef3,"2023-02-16 14:34:01",a628b667-3131-4c66-863f-f1c07ada5ef3,4bd51730-35bb-448f-a988-ebc09819ab22,42de5b2d-ed2d-4c45-9e5e-9a87cdadaee2,229e79b5-6ef9-4894-892b-d59105b08e4e
0057662c-55f7-4dee-a3a7-024dac02a60e,"2022-09-28 13:02:12.030603","2024-08-09 08:37:18.000000",575,canvas-default,whiteboard-collection,published,2065875c-b46e-4f0d-bf87-4b7913b1f2ba,NULL,8cec4e90-ce76-464c-8d70-1c9d422eec61,5,NULL,"2022-09-28 13:02:12",NULL,6a87c550-975c-43dd-b838-e564927f047d,32d29ae6-1733-4473-8c1e-ae07d2a2c898,18442240-eabe-43e8-8d67-0c4aa4d782c1
005924fe-4d1f-4a3b-8a94-f9481c5185f7,"2023-05-15 11:05:51.845401","2024-08-09 08:37:52.000000",340,canvas-default,whiteboard-collection,published,580143b0-9040-4846-bf55-6c4554dad62f,NULL,1bcce137-e9b8-4ae0-9297-70a476707da6,10,NULL,"2023-05-15 11:05:52",NULL,da3bdc4c-ad89-4297-a902-2af8dd1a36fb,83ee5384-42a6-4367-b5a8-000f0240605d,1104aa77-2c78-4597-84a6-ed80e5ae5b7b
00633118-a93b-4a05-ae31-1a28d90a6b92,"2022-11-14 13:54:04.303495","2024-08-09 08:38:12.000000",583,canvas-default,whiteboard-collection,draft,b7f37d38-9d3a-4967-8133-fb13e2fadaae,NULL,65d139f9-033b-47f7-893a-225f0af016d6,10,NULL,"2022-11-14 13:54:04",NULL,1ebbae89-d3ab-444d-b76b-dc38af93504c,c783e2b8-6e23-47a1-ac17-d1dd88f9bc1b,2e7fd2a2-067a-4666-96cc-eb3529a697f6
0068e0c2-316a-4df3-ae9b-3d48f7f5c408,"2024-08-16 12:36:02.066477","2024-08-16 12:36:02.066477",1,general-chat,post,published,7371be98-d715-4d53-8ed7-652a120ad706,568e7153-99de-4831-a5fe-491387ce1a42,cc68e5c3-96db-404b-a7bf-21f4bd623a1a,2,NULL,"2024-08-16 12:36:02",efea4dfb-af17-411c-bf28-e42b390eebb0,b746cc50-cc81-4512-b942-8174076db289,82f1daf5-75b9-494a-9df0-5b7fd007b6da,6848d88e-a5c1-4313-be31-499f27ab1aff
0071210f-f403-4de4-a65e-45658e9609e1,"2023-08-21 06:44:59.447963","2024-08-09 08:38:06.000000",219,testbugcheckout1-4891,whiteboard,published,8fc04cb4-2c09-40af-9e8e-73b94a9bd159,NULL,32f7c368-88e1-4bfc-a812-6238cc375adc,9,4bfed890-b89c-4dce-baa5-7fbaf2470882,"2023-08-21 06:45:01",4bfed890-b89c-4dce-baa5-7fbaf2470882,8ba27b0b-77a9-46a1-8932-5315391faaf2,879e0fb1-82dd-4d16-9396-5de35d7d94e9,4bdafb25-0ee2-4ea3-b7ae-f20f5af3cfb0
007122ab-d26f-42e2-953c-7f359a8a7f12,"2024-03-14 20:55:54.449426","2024-08-09 08:37:09.000000",97,getting-started,link-collection,published,5bf20439-6395-4f98-8008-81a1ca1de356,NULL,432197b1-5e84-48f0-aa38-05a9299e31d9,1,NULL,"2024-03-14 20:55:54",efea4dfb-af17-411c-bf28-e42b390eebb0,48e9e668-7c61-48b8-be61-826f31f4b5ee,28f9e4dd-0c19-4a88-b3f8-bbc2e2a6f6ed,1481a0f8-b187-4a53-8823-a6e0065e1854
007e4d4e-2222-4880-b1b8-9ec54b79b6dd,"2024-06-28 12:13:44.742713","2024-06-28 12:13:47.000000",2,cleaning-up,post,published,f3644153-f909-4596-a92b-2bdb79aaa3b5,133c37d8-ef22-4d96-8c32-8eede6376cc3,8958b690-9436-437c-8092-de59617bc8d7,4,NULL,"2024-06-28 12:13:45",4680475f-358d-4cf9-a25f-9d1e4957a3c7,e3bdee9f-005a-41a5-a850-50c6fdbc7570,0e7bba4d-d31a-4e3d-9f46-0e7a015f43c7,2b669bf9-3a7b-434e-ae5a-434d43db6232
00811ba2-f8f0-4119-a301-97fceb905b4d,"2022-08-25 08:57:56.848434","2024-08-09 08:36:53.000000",544,card-default,post-collection,published,a9663f9c-1b45-47b3-9c5f-a1b9b08f250c,NULL,ad9ffff9-a8a3-43c7-9524-f5dc38e2b8a6,10,NULL,"2022-08-25 08:57:57",NULL,affe7132-e7d3-48ae-9225-9ba0cafa2faf,04358f7c-d2b2-43b6-a2f4-0008a3ccf19e,f0b44241-7461-42b0-955e-e6856b70ece9
00948477-a96e-4eb3-81d6-76fe75456d6d,"2023-03-31 14:43:03.519079","2023-11-06 14:18:01.524346",269,release-31-03-23-cha-637,post,published,831f4904-46f5-43dd-897a-ce32fae362c6,9f25ac70-e3ba-4b8b-a1d4-abad7c2038fe,7cabe333-9c0b-4c4a-9449-c1d59cde6d05,10,2de21941-a21f-4cfc-a076-3aa3bc74157e,"2023-03-31 14:43:48",2de21941-a21f-4cfc-a076-3aa3bc74157e,5675b154-937c-489e-a2b9-ee96edfebce0,21b8ea30-64ea-4c24-99b9-984d8d53a3f0,3201c154-9cb9-46c3-a5f3-d872ae26aae6
009a7339-d158-4ca6-9e98-0530d96b3169,"2023-05-03 14:45:42.037991","2024-08-09 08:38:26.000000",375,link-collection,link-collection,published,eef2c064-8ff3-477f-9bcd-2c42f6703685,NULL,dff4b4ab-fc66-4680-81ce-7ec2ef5ae7b1,1,NULL,"2023-05-03 14:45:42",NULL,5c6525f7-725d-46e5-8244-cd17b94cdab7,9982b285-9899-4040-a382-2cda9a956930,8607013e-a2b3-448f-b0a4-ddaade2dc713
