id,createdDate,updatedDate,version,member,lead,admin
02d01b16-7713-4260-8838-1c1c083b6d3b,"2024-05-16 13:37:39.753182","2024-05-16 13:37:45.000000",3,"{"enabled":true,"credential":{"type":"space-member","resourceID":"8b0e7fbd-047a-4fac-81ec-55c8ef044ff2"},"parentCredentials":[{"type":"space-member","resourceID":"03ae09c6-399c-472b-b045-0ecfe4e3d2bd"},{"type":"space-member","resourceID":"127f6fda-29d5-47d3-932f-6db28e906e10"}],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"8b0e7fbd-047a-4fac-81ec-55c8ef044ff2"},"parentCredentials":[{"type":"space-lead","resourceID":"03ae09c6-399c-472b-b045-0ecfe4e3d2bd"},{"type":"space-lead","resourceID":"127f6fda-29d5-47d3-932f-6db28e906e10"}],"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"8b0e7fbd-047a-4fac-81ec-55c8ef044ff2"},"parentCredentials":[{"type":"space-admin","resourceID":"03ae09c6-399c-472b-b045-0ecfe4e3d2bd"},{"type":"space-admin","resourceID":"127f6fda-29d5-47d3-932f-6db28e906e10"}],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
02e711a1-e6f7-4d11-83d2-0324140bfb9d,"2023-07-19 11:39:12.671489","2024-05-15 14:56:51.983513",3,"{"enabled":true,"credential":{"type":"space-member","resourceID":"c66f20e6-2f2c-4bdb-b032-b806f3dc4f34"},"parentCredentials":[{"type":"space-member","resourceID":"ee037a0b-bd94-475e-aee2-c0cd4e135cfd"},{"type":"space-member","resourceID":"c8c62aa1-70ee-4bc5-999b-4c106fbda4ad"}],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"c66f20e6-2f2c-4bdb-b032-b806f3dc4f34"},"parentCredentials":[{"type":"space-lead","resourceID":"ee037a0b-bd94-475e-aee2-c0cd4e135cfd"},{"type":"space-lead","resourceID":"c8c62aa1-70ee-4bc5-999b-4c106fbda4ad"}],"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"c66f20e6-2f2c-4bdb-b032-b806f3dc4f34"},"parentCredentials":[{"type":"space-admin","resourceID":"ee037a0b-bd94-475e-aee2-c0cd4e135cfd"},{"type":"space-admin","resourceID":"c8c62aa1-70ee-4bc5-999b-4c106fbda4ad"}],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
02ec210b-310f-4fa3-ad92-c6fc0e11fc35,"2023-07-11 15:02:10.308878","2024-05-15 14:56:51.983513",3,"{"enabled":true,"credential":{"type":"space-member","resourceID":"570dad00-eb6c-4620-9d9f-52eab48ff753"},"parentCredentials":[{"type":"space-member","resourceID":"29dbe035-1692-4b6b-9fb0-60147e385f5b"}],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"570dad00-eb6c-4620-9d9f-52eab48ff753"},"parentCredentials":[{"type":"space-lead","resourceID":"29dbe035-1692-4b6b-9fb0-60147e385f5b"}],"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"570dad00-eb6c-4620-9d9f-52eab48ff753"},"parentCredentials":[{"type":"space-admin","resourceID":"29dbe035-1692-4b6b-9fb0-60147e385f5b"}],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
032a2edc-9cfb-4f23-9191-51d3c915a66d,"2023-08-24 18:13:30.753295","2023-08-24 18:13:34.000000",2,"{"enabled":true,"credential":{"type":"space-member","resourceID":"cffe2ae5-2526-4897-821e-986595f7de2a"},"parentCredentials":[],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"cffe2ae5-2526-4897-821e-986595f7de2a"},"parentCredentials":[],"minOrg":0,"maxOrg":2,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"cffe2ae5-2526-4897-821e-986595f7de2a"},"parentCredentials":[],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
038df716-6a2f-49ae-ad36-cd157f6afbff,"2023-08-17 08:38:27.432856","2024-05-15 14:56:51.983513",3,"{"enabled":true,"credential":{"type":"space-member","resourceID":"7892b169-42d5-4e71-97d2-3c23bda35039"},"parentCredentials":[{"type":"space-member","resourceID":"29c96d95-b5e8-443e-ac9d-916c536e4209"}],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"7892b169-42d5-4e71-97d2-3c23bda35039"},"parentCredentials":[{"type":"space-lead","resourceID":"29c96d95-b5e8-443e-ac9d-916c536e4209"}],"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"7892b169-42d5-4e71-97d2-3c23bda35039"},"parentCredentials":[{"type":"space-admin","resourceID":"29c96d95-b5e8-443e-ac9d-916c536e4209"}],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
03b78e0e-76c6-4c37-862e-0d287297705f,"2023-05-11 11:38:13.497416","2023-08-03 12:11:46.641133",2,"{"enabled":true,"credential":{"type":"space-member","resourceID":"49ff6429-4c72-4c7d-adb7-d08e352f0a88"},"parentCredentials":[],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"49ff6429-4c72-4c7d-adb7-d08e352f0a88"},"parentCredentials":[],"minOrg":0,"maxOrg":2,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"49ff6429-4c72-4c7d-adb7-d08e352f0a88"},"parentCredentials":[],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
04d121ab-2a0c-4caf-8a6f-b6584a048181,"2022-11-25 09:18:46.000000","2024-06-17 13:32:20.310389",1,"{"enabled":true,"credential":{"type":"space-member","resourceID":"53c5c064-6128-440c-8a62-4867e3476d7b"},"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"53c5c064-6128-440c-8a62-4867e3476d7b"},"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2,"parentCredentials":[{"type":"space-lead","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"53c5c064-6128-440c-8a62-4867e3476d7b"},"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}"
04ed1736-7197-4c8a-a83a-5031ef78f60a,"2023-08-21 12:06:27.305958","2024-05-15 14:56:51.983513",3,"{"enabled":true,"credential":{"type":"space-member","resourceID":"31d0226d-3121-474d-af4b-50ca079f92a4"},"parentCredentials":[{"type":"space-member","resourceID":"f3df2176-fadf-41db-8f41-f179a895ca54"},{"type":"space-member","resourceID":"fad55b90-3639-4e93-88c8-d0c295027c55"}],"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"31d0226d-3121-474d-af4b-50ca079f92a4"},"parentCredentials":[{"type":"space-lead","resourceID":"f3df2176-fadf-41db-8f41-f179a895ca54"},{"type":"space-lead","resourceID":"fad55b90-3639-4e93-88c8-d0c295027c55"}],"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"31d0226d-3121-474d-af4b-50ca079f92a4"},"parentCredentials":[{"type":"space-admin","resourceID":"f3df2176-fadf-41db-8f41-f179a895ca54"},{"type":"space-admin","resourceID":"fad55b90-3639-4e93-88c8-d0c295027c55"}],"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1}"
04f71809-906c-4ddf-9956-3cac23938cda,"2022-11-25 09:18:46.000000","2024-06-17 13:32:20.320568",1,"{"enabled":true,"credential":{"type":"space-member","resourceID":"4089ead7-3634-49dc-bea3-174d6b44385b"},"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"c95cad3a-95f6-4780-8209-228efa07deb3"},{"type":"space-member","resourceID":"f7ae7dc4-9d22-4793-b5b9-67d0d55f2f5e"}]}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"4089ead7-3634-49dc-bea3-174d6b44385b"},"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2,"parentCredentials":[{"type":"space-lead","resourceID":"f7ae7dc4-9d22-4793-b5b9-67d0d55f2f5e"}]}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"4089ead7-3634-49dc-bea3-174d6b44385b"},"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"c95cad3a-95f6-4780-8209-228efa07deb3"},{"type":"space-member","resourceID":"f7ae7dc4-9d22-4793-b5b9-67d0d55f2f5e"}]}"
0561bea0-77a3-4705-bc48-d618a9f6cf1b,"2022-11-25 09:18:46.000000","2024-06-17 13:32:20.327846",1,"{"enabled":true,"credential":{"type":"space-member","resourceID":"78707e4d-3731-435d-91ac-e9fcc6ad5118"},"minOrg":0,"maxOrg":-1,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}","{"enabled":true,"credential":{"type":"space-lead","resourceID":"78707e4d-3731-435d-91ac-e9fcc6ad5118"},"minOrg":0,"maxOrg":9,"minUser":0,"maxUser":2,"parentCredentials":[{"type":"space-lead","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}","{"enabled":true,"credential":{"type":"space-admin","resourceID":"78707e4d-3731-435d-91ac-e9fcc6ad5118"},"minOrg":0,"maxOrg":0,"minUser":0,"maxUser":-1,"parentCredentials":[{"type":"space-member","resourceID":"e4686b3a-e65f-4b63-851b-2620aef98a13"}]}"
