id,createdDate,updatedDate,version,resourceID,type,agentId,issuer,expires
00b71fd7-d446-4ad1-884c-baf4e91325d9,"2024-05-15 14:56:54.871517","2024-05-15 14:56:54.871517",1,ad5c3ed3-f72d-443f-92cf-537d2e978c84,subspace-admin,NULL,NULL,NULL
00e3ba30-7ebf-45e1-a4bd-da964cdb44a3,"2024-05-15 14:56:58.379759","2024-05-15 14:56:58.379759",1,29c96d95-b5e8-443e-ac9d-916c536e4209,subspace-admin,NULL,NULL,NULL
01d65b8f-eb8e-45bd-a90b-86a74f302e8a,"2024-05-15 14:56:54.143494","2024-05-15 14:56:54.143494",1,473fff73-624a-4d87-b983-0c010e3dba62,subspace-admin,NULL,NULL,NULL
0245e972-c423-467c-b548-ea4b48980547,"2024-05-15 14:56:55.389528","2024-05-15 14:56:55.389528",1,3aca1587-ad9e-4ed0-ad21-806f80664f9c,subspace-admin,NULL,NULL,NULL
0481f4e2-a0a3-460e-ace7-b7572e4db65b,"2024-05-15 14:56:58.560917","2024-05-15 14:56:58.560917",1,3d59acb0-ab35-44a1-bda0-b1f06b2ee36e,subspace-admin,NULL,NULL,NULL
05165bb1-a1dc-423f-aff5-5544cd6a5923,"2024-05-15 14:56:58.429488","2024-05-15 14:56:58.429488",1,29c96d95-b5e8-443e-ac9d-916c536e4209,subspace-admin,NULL,NULL,NULL
05bdbe09-c3ac-4a16-9f71-b86ff08dab00,"2024-05-15 14:56:58.888642","2024-05-15 14:56:58.888642",1,29c96d95-b5e8-443e-ac9d-916c536e4209,subspace-admin,NULL,NULL,NULL
05eb95df-2341-4992-b6c8-4d9a60917e69,"2024-05-15 14:57:00.386000","2024-05-15 14:57:00.386000",1,47866aee-98ab-4348-98ea-1b430a819677,subspace-admin,NULL,NULL,NULL
0690c1e9-4fcb-4591-9fa7-b63a07b3fdc1,"2024-05-15 14:56:59.452202","2024-05-15 14:56:59.452202",1,aa5d5bd5-21e6-4b13-8f95-8b9f85c79b26,subspace-admin,NULL,NULL,NULL
0754ec29-8a1e-4ba2-b3d3-97234e1a2a84,"2024-05-15 14:56:54.774225","2024-05-15 14:56:54.774225",1,null,subspace-admin,NULL,NULL,NULL
089c1c11-dd22-4088-b555-e666eba86133,"2024-05-15 14:56:56.799494","2024-05-15 14:56:56.799494",1,f283630e-db04-46a4-8470-dd0df90cbaf1,subspace-admin,NULL,NULL,NULL
08c8043e-459d-41d1-8986-304f392eab37,"2024-03-11 09:40:42.153671","2024-03-11 09:40:43.000000",4,443510a9-9fc9-4dd1-9eff-348cec6e9b52,organization-associate,NULL,NULL,NULL
095a35dd-a2a6-4e1b-a141-e071ab11e5ae,"2024-05-15 14:56:58.037874","2024-05-15 14:56:58.037874",1,0a222cd3-3c8f-4534-9d0b-2f7ef7d453d6,subspace-admin,NULL,NULL,NULL
09774e95-5ca3-4f06-9f2c-29c3ea74683e,"2024-05-15 14:56:57.007862","2024-05-15 14:56:57.007862",1,5fe04cd3-74d0-4ea9-8149-9f767e2f01b3,subspace-admin,NULL,NULL,NULL
09d84cb9-9d87-4bb6-b3ba-1d38cd534e09,"2024-05-15 14:56:59.907754","2024-05-15 14:56:59.907754",1,e4686b3a-e65f-4b63-851b-2620aef98a13,subspace-admin,NULL,NULL,NULL
09e33ea4-2ad0-4e03-91d9-cb5e6e42e63e,"2024-05-15 14:57:00.519017","2024-05-15 14:57:00.519017",1,011d4154-1933-4156-8824-3b32d9cc4091,subspace-admin,NULL,NULL,NULL
0a97bf18-6936-4933-b439-782d26256bb6,"2024-05-15 14:56:54.500227","2024-05-15 14:56:54.500227",1,e0ddacca-f11b-4cbf-8a41-1b2c6cf92b71,subspace-admin,NULL,NULL,NULL
0aaebd4e-c6f2-44aa-919e-914134eca8c5,"2024-05-15 14:56:57.600862","2024-05-15 14:56:57.600862",1,c1840e2f-bb08-4690-9c68-292a1a153a86,subspace-admin,NULL,NULL,NULL
0c942525-0c91-445c-9c90-3b3e7ca75576,"2024-05-15 14:57:00.176904","2024-05-15 14:57:00.176904",1,1a1b3643-7af3-4273-9ee6-32d6639e0857,subspace-admin,NULL,NULL,NULL
0cc1f81a-9040-42dd-963d-bfe7c6abbab7,"2024-05-15 14:57:00.604044","2024-05-15 14:57:00.604044",1,d0a97bc4-6208-4582-aab5-8b09891b14f8,subspace-admin,NULL,NULL,NULL
0cdcf655-9351-436d-b46e-cac0ed35964b,"2024-05-15 14:56:57.624462","2024-05-15 14:56:57.624462",1,d0a97bc4-6208-4582-aab5-8b09891b14f8,subspace-admin,NULL,NULL,NULL
0e218fc4-0847-4493-b12f-3089407fa8dc,"2024-05-15 14:57:00.688601","2024-05-15 14:57:00.688601",1,80eb2dba-286b-4620-b84f-18e8253aa0db,subspace-admin,NULL,NULL,NULL
0e349c12-02e0-4231-bff3-4039fc0b41b7,"2024-05-15 14:56:58.084508","2024-05-15 14:56:58.084508",1,b1471469-5e7a-4878-9e7c-87bdb9db920d,subspace-admin,NULL,NULL,NULL
0f25c9ad-e138-4945-8e0e-6a944c5a4a81,"2024-05-15 14:56:54.192971","2024-05-15 14:56:54.192971",1,ad5c3ed3-f72d-443f-92cf-537d2e978c84,subspace-admin,NULL,NULL,NULL
1032d784-ba76-429c-9c9b-51dcbd712ae6,"2024-05-15 14:56:55.229443","2024-05-15 14:56:55.229443",1,dae57a3c-5fa7-4be4-ac1a-bcdf52868d40,subspace-admin,NULL,NULL,NULL
103c437b-7df6-4c9d-a193-e38938a35eb3,"2024-05-15 14:56:59.488773","2024-05-15 14:56:59.488773",1,877ccb9f-c1c9-41a8-926d-c4d550748041,subspace-admin,NULL,NULL,NULL
116eb315-582b-4fc9-b0c9-76a2d2067776,"2024-05-15 14:57:00.084359","2024-05-15 14:57:00.084359",1,e780ff32-883c-43cb-8a0b-a13de9e12af0,subspace-admin,NULL,NULL,NULL
11c5f287-e524-451a-82ba-9706684050fe,"2024-05-15 14:56:59.680827","2024-05-15 14:56:59.680827",1,3aca1587-ad9e-4ed0-ad21-806f80664f9c,subspace-admin,NULL,NULL,NULL
125a13ec-8945-4466-b8ad-dbea005f755c,"2024-05-15 14:56:53.919889","2024-05-15 14:56:53.919889",1,a1b8011b-5298-410b-abd3-03cfbc4e94d0,subspace-admin,NULL,NULL,NULL
128ea6d9-9592-46d5-b6ce-379bc518ca9d,"2024-05-15 14:56:52.900854","2024-05-15 14:56:52.900854",1,127f6fda-29d5-47d3-932f-6db28e906e10,subspace-admin,NULL,NULL,NULL
12b7fe5c-57f4-49f5-b2e9-9d4a657b9de1,"2024-05-15 14:56:52.626648","2024-05-15 14:56:52.626648",1,0cc5457a-e0ad-4c67-87cd-f02fc5a67a7d,subspace-admin,NULL,NULL,NULL
145f421c-a98d-4a6f-8bc5-fbd813cd50dc,"2024-05-15 14:56:53.102694","2024-05-15 14:56:53.102694",1,e4c05efe-e433-404c-b150-81eb6ae10a77,subspace-admin,NULL,NULL,NULL
14a5652d-d224-4646-9d7b-9d79028c6ab3,"2024-05-15 14:56:58.531070","2024-05-15 14:56:58.531070",1,4d0d1b6c-94de-433c-a0b8-64f3a8801c5b,subspace-admin,NULL,NULL,NULL
15d5358e-a585-4db7-9360-90286a94c908,"2024-05-15 14:56:53.206860","2024-05-15 14:56:53.206860",1,7b60f3e6-fced-4c16-8e83-0ad484faac4c,subspace-admin,NULL,NULL,NULL
161b9be0-2084-43a4-9a4c-e37c98a30158,"2024-05-15 14:56:54.806773","2024-05-15 14:56:54.806773",1,3847f73e-8518-45da-99cf-0e00854f715f,subspace-admin,NULL,NULL,NULL
16425c23-343f-45c2-a932-14c5986ce081,"2024-05-15 14:56:58.354952","2024-05-15 14:56:58.354952",1,ee037a0b-bd94-475e-aee2-c0cd4e135cfd,subspace-admin,NULL,NULL,NULL
169931e4-d55a-4e95-bb48-012eb2e32ea2,"2024-05-15 14:56:54.560509","2024-05-15 14:56:54.560509",1,29c96d95-b5e8-443e-ac9d-916c536e4209,subspace-admin,NULL,NULL,NULL
17066d10-2e06-4bb0-8f4f-e7a556a0ee90,"2024-05-15 14:56:52.820212","2024-05-15 14:56:52.820212",1,2e664bdf-4e0b-422d-88f9-d89859ffe916,subspace-admin,NULL,NULL,NULL
1c5da0f2-9de1-41bb-83d7-b1c074740c4a,"2024-05-15 14:56:58.113437","2024-05-15 14:56:58.113437",1,41b43ecb-f31c-4570-a196-68a1a25eb354,subspace-admin,NULL,NULL,NULL
1c83618a-3676-4cda-81e8-b6214d46159c,"2024-05-15 14:56:54.663293","2024-05-15 14:56:54.663293",1,17d9ff1f-d151-4652-8e68-a9134c66be4d,subspace-admin,NULL,NULL,NULL
1d48cfc7-1861-4b61-b7a8-e53dd5e1fbf2,"2024-05-15 14:57:00.629580","2024-05-15 14:57:00.629580",1,a5c24dca-bd7e-4bd6-811b-d97a0c47ba5e,subspace-admin,NULL,NULL,NULL
1d4c2163-a5df-47c5-993f-e41947cee60e,"2024-05-15 14:56:52.313607","2024-05-15 14:56:52.313607",1,e4686b3a-e65f-4b63-851b-2620aef98a13,subspace-admin,NULL,NULL,NULL
1e3309ba-4005-46ef-8e75-4607422fc9d2,"2024-05-15 14:57:00.111264","2024-05-15 14:57:00.111264",1,a1958a23-758b-4ae5-8db1-3bc2c155de5e,subspace-admin,NULL,NULL,NULL
1ece1159-46bf-4817-9537-cd1f1b1a5857,"2024-05-15 14:56:58.672487","2024-05-15 14:56:58.672487",1,d0a97bc4-6208-4582-aab5-8b09891b14f8,subspace-admin,NULL,NULL,NULL
1f09d715-3e5b-400a-b619-01d6353038e4,"2024-05-15 14:56:56.014799","2024-05-15 14:56:56.014799",1,c3c3cc60-065a-4873-bf0b-fd4d6e371455,subspace-admin,NULL,NULL,NULL
1f901edf-57e7-4d2e-96be-8198a1f4b5ac,"2024-05-15 14:56:59.258405","2024-05-15 14:56:59.258405",1,aa5d5bd5-21e6-4b13-8f95-8b9f85c79b26,subspace-admin,NULL,NULL,NULL
1fb15d09-a0a6-49ff-bf1b-afe3f41b2d92,"2024-05-15 14:56:54.363402","2024-05-15 14:56:54.363402",1,2e664bdf-4e0b-422d-88f9-d89859ffe916,subspace-admin,NULL,NULL,NULL
2000fb91-3d6f-4b5e-be9a-362ac0767311,"2024-05-15 14:56:57.546174","2024-05-15 14:56:57.546174",1,127f6fda-29d5-47d3-932f-6db28e906e10,subspace-admin,NULL,NULL,NULL
243d2ff4-95bc-4ca1-a6f8-6249b74939c0,"2024-05-15 14:57:00.333381","2024-05-15 14:57:00.333381",1,e4686b3a-e65f-4b63-851b-2620aef98a13,subspace-admin,NULL,NULL,NULL
243efb57-5ae5-4bb5-a394-f3471971144d,"2024-06-03 08:23:39.302000","2024-06-03 08:23:46.000000",3,fdac5f65-b1f6-4c24-beee-6e20a07736d2,organization-admin,NULL,NULL,NULL
2491c063-cf9e-4eb0-b3b0-35c0f014317a,"2024-05-15 14:56:52.185521","2024-05-15 14:56:52.185521",1,313b9998-0e1e-4609-84d3-e3d69277f070,subspace-admin,NULL,NULL,NULL
2665cca6-6a00-4f2a-95f9-0699d1327aea,"2024-05-15 14:57:00.280359","2024-05-15 14:57:00.280359",1,c412f3a8-7dab-4d57-ab40-7c53d6d2798a,subspace-admin,NULL,NULL,NULL
270c9e15-fd96-488e-bf90-f89ae9040dcd,"2024-05-15 14:56:58.306774","2024-05-15 14:56:58.306774",1,7efe3c41-2041-4efa-909e-3628eb85002a,subspace-admin,NULL,NULL,NULL
27e89a52-a373-4232-81a7-bcb3e82b6b1f,"2024-05-15 14:56:55.416184","2024-05-15 14:56:55.416184",1,421122fe-1105-49d8-a716-8902fcf8424f,subspace-admin,NULL,NULL,NULL
28303433-7f7e-4536-a388-b693134567bc,"2024-05-15 14:56:56.934650","2024-05-15 14:56:56.934650",1,d0a97bc4-6208-4582-aab5-8b09891b14f8,subspace-admin,NULL,NULL,NULL
28537631-df5b-41c7-9554-bfad70bd699b,"2024-05-15 14:56:58.483759","2024-05-15 14:56:58.483759",1,0c1c6cbe-a9b8-4c1a-bfb8-a52e72bdd4e4,subspace-admin,NULL,NULL,NULL
28b31ee4-8811-4aef-9364-eb106d460882,"2024-05-15 14:57:00.436414","2024-05-15 14:57:00.436414",1,b525fe11-acea-465b-be6e-39e886d53233,subspace-admin,NULL,NULL,NULL
28cfe5e6-33a7-4777-8341-dfc533a2a2ff,"2024-05-15 14:56:56.144436","2024-05-15 14:56:56.144436",1,e780ff32-883c-43cb-8a0b-a13de9e12af0,subspace-admin,NULL,NULL,NULL
