id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
6b1baf23-b703-46ea-a57e-fe8ae5a69adf,"2024-02-09 13:52:28.130518","2024-02-09 13:52:28.000000",2,EnergyWeb2,https://www.energyweb.org/,"Official site",2b52ac36-4d21-4670-b96b-8467e0e77b02,dca589bc-b185-42e9-b171-c6f3087f4d4a
6b304d6e-318e-4923-a338-0ec892d1def7,"2022-10-28 06:26:18.286257","2023-03-21 12:48:47.343943",3,"challenge-release-27-10-2022 reference",https://test.com,challenge-release-27-10-2022,25a29635-99bb-4145-be3c-5b19ce3edfbd,e3f5d6f9-6af9-4809-84af-0fb7e8a322c0
6b448015-ecae-4498-b0a2-7de889140179,"2022-08-24 13:59:44.506049","2022-08-24 13:59:47.000000",2,twitter,,"User profile on Twitter",c8e3214d-33a5-4e2e-9292-7e9a0644896a,8f595445-1b9e-432e-8ab3-546c95aa95d3
6c4b3794-3299-475a-8d82-0d2809ae3a1e,"2022-11-14 13:32:44.950409","2022-11-14 13:32:45.000000",2,github,,"User profile on GitHub",d3b503dd-6f2d-470f-9cd1-7040012d7e89,bedc9e0a-3023-4a86-ad06-3e9db19018db
6c7e0f3d-1204-475b-9e13-3f4fd4bf6102,"2023-01-26 15:13:37.572495","2023-01-26 15:13:37.000000",2,twitter,,"User profile on Twitter",5030d5ff-c734-4346-89a0-b458939fbe1c,1aa0cc54-d68d-4d67-84e0-cb43bdcf7a90
6c8fe853-5a7b-4011-a5f4-9df1b7bfb7fe,"2024-07-25 14:53:22.793010","2024-07-25 14:53:22.000000",2,,,,b08bacbd-bc97-4eea-91fd-e5ae14fadb95,59ff9456-f0a8-47ef-ace4-8458762bcd73
6c8ff0fa-215f-41bf-bd61-7970af90c8ec,"2024-06-03 10:09:40.048053","2024-06-03 10:09:40.000000",2,github,,"User profile on GitSpace",654db7f7-bd91-437f-96a1-32eb856e7821,820f28d5-87b2-4f38-afa0-8adf14a4d9cd
6cda4b66-bbc6-4e59-8e6c-03f3c1ce55ed,"2024-07-18 12:25:27.706385","2024-07-18 12:25:27.000000",2,twitter,,"User profile on Twitter",e18a70ef-c396-4674-a281-8ae7e9ad7715,70248238-c8e5-4b5b-b241-f7c86ea1c4bc
6d06d5c0-4e8d-4d26-8b14-0653deb4ce34,"2024-03-07 09:22:50.735337","2024-03-07 09:22:50.000000",2,"Create Call for Whiteboards",https://acc-alkem.io/api/private/rest/storage/document/9a8f3468-0acf-4710-b573-4bdea23405df,,d0e7c1b9-f074-4af3-a003-c5a6eaef3a44,99187629-4f6e-4cea-8e79-9cb73ba9a158
6d1968dd-e5f4-4c72-890b-2104449b91e1,"2023-10-10 13:11:53.609743","2023-11-22 16:54:32.341335",3,"New reference",https://acc-alkem.io/api/private/rest/storage/document/9186673c-508b-47cd-b3c4-0ee80f1e6e59,,78fcf82f-cbdf-4fa5-9da5-938ffd1e1da6,92d8a68b-d488-4d37-885f-604b01ef8f9b
