id,createdDate,updatedDate,version,authorizationId,lifecycleId,userId,communityId
0152fc6b-d3b8-45b0-a662-ec85a2847fcf,"2024-02-12 13:41:29.375829","2024-02-12 13:41:29.000000",3,3bcd9753-0a8e-4177-8d1f-66d96b382688,46134b6c-aac6-40cd-bab2-e4ea728ed8b5,c0a1af88-7b45-4b58-babf-fe7665041240,582edcb2-79f7-4858-8b57-d71453a301be
0231791c-d9ff-4eaf-9146-19dc54872508,"2024-05-08 08:43:07.528658","2024-05-08 08:43:07.000000",3,26cafb34-3518-466e-ae7c-371698e18c6e,df511e3c-83a0-431a-ada1-0ebd3657895f,f915b39d-731d-4f64-a8d5-e97f43fb0106,ce26030b-3a9d-4a59-84e3-60639e03aa0d
043df984-9845-4751-88d4-2445eaec4a88,"2023-10-11 12:59:43.339850","2023-10-11 12:59:43.000000",3,c11f7adf-b63f-44d2-bd11-9e53524b5a2c,ce0148e8-6ce6-4768-8229-14641945f2f0,7735980c-e464-4caf-b2d8-6c329abd95e4,cd178614-7097-4901-bce1-f05e9245bce1
04c14841-803c-4a9c-b7b4-9ceba13df17d,"2024-01-03 16:25:11.455285","2024-01-03 16:25:11.000000",3,29c89ed9-2892-43be-9c2b-536f4bad0121,ed295f36-0edb-4e6d-ac8e-6b7aa37a5ba1,42d306a6-1ab1-409e-bee7-2fbf37f1636c,076940e4-2a86-4906-9b56-54250d9b8b3d
0581a110-8cfd-4545-ae71-3fb0cdb0ec89,"2023-07-20 13:54:32.548287","2023-07-20 13:54:32.000000",3,9d03b84a-89df-46d4-96b4-8c09191ac248,9835b5b3-e819-432d-bae6-27343b93bee5,70e6e81b-36d9-4feb-8547-fbb21b1dabc3,1c74d149-2405-4ee5-a4bd-33c23a4b6729
070038a7-44dd-4b25-91f8-4a78907ce727,"2024-05-16 10:18:30.082679","2024-05-16 10:18:30.000000",3,305b50f6-9bb4-4146-bf7a-81234b9d7ebe,6eb154af-6c67-409d-98e3-551c09ba1b5e,e69467c7-7f41-4a15-a6a6-503880b5c7ea,ef75a0ff-bdb8-41c0-ad9d-78cdb992ae98
08d760f0-c8bf-4baf-aea6-4f93fce79102,"2022-07-13 13:27:03.931083","2022-07-13 13:27:04.000000",3,4fb24344-41b7-4dcf-a4f8-ad26e401b134,51f902ee-83d8-42a5-af8e-e138f21c5e7c,e05a5738-014c-4c95-a57d-35f03da2d156,84b90970-6c96-4569-bf9a-275f71c0fd5b
0a4a8be9-f958-4855-9979-7b9149854aaf,"2023-12-05 15:12:13.848807","2023-12-05 15:12:13.000000",3,efb089e9-71bf-4cd6-a149-8fda95c435c4,1d58d7d6-1524-4736-ae49-cb41b9adc98a,0b55d062-fb0d-45a4-9fbe-f711f620e8de,cd178614-7097-4901-bce1-f05e9245bce1
0eb23d4e-d07d-4392-8f48-f893f8d06676,"2023-10-02 06:36:03.442300","2023-10-02 06:36:03.000000",3,6e669d34-fae2-4a24-9fab-a0b7f86e4319,35e36e4d-e371-4124-b5f9-d42202378956,7735980c-e464-4caf-b2d8-6c329abd95e4,ef75a0ff-bdb8-41c0-ad9d-78cdb992ae98
0fc26905-e0ef-4cd6-bce5-2799b0dec038,"2024-07-10 14:46:06.473271","2024-07-10 14:46:06.000000",3,a8cd23d5-c5c2-49ae-ba36-ccdf465540db,201397c7-2a58-42e3-a953-d66e6d226b4a,3017ab10-07f6-4b5f-9c92-54ea2dc48cfd,e7489c16-3c32-40ed-a244-f96318f9048c
