id,createdDate,updatedDate,createdBy,version,authorizationId,storageBucketId,displayName,tagsetId,mimeType,size,externalID
002172d7-6441-485f-8935-8e1b79fa09ad,"2023-11-22 12:12:59.644633","2023-11-22 12:12:59.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,8c736a4a-f4cb-4f7d-91b8-44de09a2d20f,2363f71a-4315-4750-8afc-cc9e49ddbad1,,4fe66e53-8d72-42f5-936e-b2c43e1d2691,image/jpeg,20718,QmViQoajobQiqmFLn1Mk3rBt5BiGbnidYXso8oKiWq1fcp
00232db9-c364-44cf-9c6a-5ee6b703ce87,"2024-02-22 10:16:49.342589","2024-02-22 10:16:49.000000",2de21941-a21f-4cfc-a076-3aa3bc74157e,2,88fd33d6-ad0b-4fd9-a070-2d285fb07f13,14ce0616-75c8-47b6-96d3-b93e8ec7083b,,d499d62f-d7e6-4ea2-8985-8c5a157aa632,image/jpeg,25935,7f53cc31b6538a1c71a5606d06cae22aa4f79fc04ff602f9c0b4a0506f3737cd
002dbcd6-2c0c-4663-9319-52e8fadffd32,"2023-11-06 14:54:08.198508","2023-11-06 14:54:08.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,10e3a57f-6f78-41e2-9991-8bd32f9e9fab,e3d1e447-8d2c-4dc8-a8c9-9caa5693c6b0,"Whiteboard-my challenge canvas-aa4566cf-b3bd-41f0-aa61-744f15e98fd6",b5fa7a94-79dc-4b67-a2ae-1f12400c1881,image/jpeg,281118,QmeQMty8mJVABGA5P8xkvgsqcu8PZEGPTDMEZUdewYCQP2
003e516b-6ceb-4001-9116-6c36d03bec43,"2023-11-08 12:33:31.525084","2023-11-08 12:33:31.000000",2de21941-a21f-4cfc-a076-3aa3bc74157e,2,d7da6246-1333-48fb-9b2e-d61de9f4fcf5,572fe46b-4e41-4d5f-85be-f531aff86685,Whiteboard-omwbonoppwhench-4773-bannerNarrow.png,e84186fd-e67b-4cbb-adf3-f5ef1b2db296,image/png,30198,QmP6TUYyvXcBTe5tRrauMUag1FjWTsji9yG55ZJWRFoVAZ
003e7e8c-56bb-4120-9952-885379c110dd,"2024-02-20 16:46:46.928882","2024-02-20 16:46:46.000000",2de21941-a21f-4cfc-a076-3aa3bc74157e,2,3f474f3c-bd42-4f40-9ec4-d8712eec5043,14ce0616-75c8-47b6-96d3-b93e8ec7083b,,6c910a67-6dbd-4ba0-bf88-41b4290fe647,image/jpeg,31831,dcdc885adbd880af6fa31bed32defe927cdf0719e95aa9d2666132b7f0a5c19b
00442465-fecb-486f-a3cc-f48fd50550a5,"2024-05-28 11:21:21.459336","2024-05-28 11:21:21.000000",03db200a-1b24-41a0-bc76-f22277b49628,2,f37cef03-b905-462b-b437-5317b2165f9c,266208c6-df1c-4e8c-8564-6857fb0caf87,9e42d351-1e6b-4725-b0d7-b67741cb0aae.jpeg,88ff0f98-c099-4820-bb15-a029bf6856a3,image/jpeg,362532,3d32a1be5202a4013ec0567e3f39f7a112de9c59ebb0561a0e645666b9d1ff27
00476bb1-e91c-4e87-9a1d-85e05e264c49,"2023-08-22 15:23:52.230485","2023-10-11 12:06:53.181775",NULL,2,8f3e0975-8339-4368-b701-cc9791382e71,ea157e6f-a58c-4c81-91ae-d19f951b5be9,Whiteboard-werewwer-4505-bannerNarrow.png,d41fd834-5404-4fad-9e50-b441ca6aa4ef,image/png,57995,QmemdG2DyuiqWqdehvGWkZGsEyzpRcerndJpif5E8NjmXE
00523003-2931-40de-a0f3-0f2a802a9a6b,"2024-01-29 08:24:51.734479","2024-01-29 08:24:51.000000",70e6e81b-36d9-4feb-8547-fbb21b1dabc3,2,91c065c5-7c0c-4879-9aa3-3236d44ddaa9,b431ba62-ec50-411b-861f-07987fb8adb3,HappyFish.jpg,87be9703-9d92-440e-b401-c82804fa22dd,image/jpeg,8283,a53d67305b411c481848fb693e3a0c0bac08cc4f48b0c4e18daefa2e7438d665
005758e8-b11d-41b5-bdef-cf836a7138e6,"2023-05-23 21:05:04.351444","2023-10-11 12:06:56.941601",NULL,2,d93b3cf4-3343-45e3-bfcf-918be1588364,353f3e61-d30f-4966-bfaf-cf757550ee59,newFile.jpg,69b46a19-cace-4512-9865-995aff8a9b0b,image/jpeg,525716,QmRr73fXHZ8kWdLWZAeN4SUbST3PecKpLFh5cKyLs7ChBG
006a894d-46cf-42f3-9dfe-e6e851bb6d3a,"2024-03-11 09:50:44.796904","2024-03-11 09:50:44.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,cf12bd40-fd9a-445c-acff-1b6e6fe5374d,be6502f0-48dd-49e6-9345-23e20e6e7917,newFile.jpg,ed7ca927-1115-4545-a9f8-b0126e5bfad8,image/jpeg,13936,bf0e64a3283e323136308b0c7a6a88f890b55c3c68002d98e070941af982ea73
