id,createdDate,updatedDate,version,authorizationId,tagsetTemplateSetId,timelineId,innovationFlowId,groupsStr
040c63ad-2b64-472a-88ea-756c6e40d26d,"2023-04-21 14:05:45.159420","2024-04-30 14:44:21.095626",1,0fb22cd3-1ba5-4e53-a0af-1cb60c2fe082,58571c5e-0020-4592-9965-1ce8a4b9fdfb,7a549621-5b56-4e4e-818f-798d0f43fe30,f0d32af2-3e95-40e5-9c50-55102a6a8acc,"[{"displayName":"HOME","description":"The Home page."}]"
0496d333-b7aa-4f12-86c1-ce2e3cebc68d,"2024-07-05 08:31:18.100388","2024-07-05 08:31:18.100388",1,bba49b17-bcc8-4a59-96d0-d51d85548c2e,b88e4ccf-e738-402d-8083-89f7a7e98946,66f4e0a1-e44f-438f-8974-56b0623da3ab,34e95ebb-e352-4f9f-81fa-d40178bcebb5,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
04debc50-3336-4d9f-8905-daccd140ae8b,"2022-08-24 12:04:18.242297","2024-04-30 14:44:21.095626",1,7f997a3e-1358-44ad-b7c9-2044344dcb41,1965dc97-98b0-4b48-8069-c45db637c0ed,430c9431-0c7b-40ad-8c23-9333f822e898,1771c1f0-1cb9-41c5-898b-04f7a9c08c7d,"[{"displayName":"HOME","description":"The Home page."}]"
04f14873-ead7-4224-89fa-a50db0f6cbbe,"2023-08-30 14:47:12.345338","2024-04-30 14:44:21.095626",1,5fca6ff9-1064-4c41-971c-4a7741d4b97b,ceb1c5c5-a934-422a-94dd-bdd173c2f5a9,b23d7c19-0231-4cb2-9750-d9f01c968345,56714b93-c790-47fb-93b5-12fd613d9c8a,"[{"displayName":"HOME","description":"The Home page."}]"
0576e561-d1dd-49fa-af77-e30f5f04baad,"2024-05-30 11:27:38.897915","2024-05-30 11:27:38.897915",1,4a89c605-a327-401f-b507-6293c80fb8d1,7125cdc2-01ef-48f0-801d-f060df07a41c,45a34686-09a4-48d1-81c8-bd271b35b455,f58d3f13-6ada-41fb-8e05-a371d47a84d8,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
073f3249-e6ba-4ab7-a592-3b85192ed627,"2023-12-05 12:09:26.412777","2024-04-30 14:42:28.732072",1,54be7e10-17a3-4dc0-b854-4c32f84618ec,8d706e33-2017-419c-b7a3-6fcdb9979da7,e981f17c-7afa-4207-b0f7-a201c01e6cc6,92ce2b81-10be-49f6-b75d-b4d4a9a26878,"[{"displayName":"HOME","description":"The Home page."},{"displayName":"COMMUNITY","description":"The Community page."},{"displayName":"SUBSPACES","description":"The Subspaces page."},{"displayName":"KNOWLEDGE","description":"The knowledge page."}]"
07611762-bc25-41dc-b208-9aed9659c2f5,"2022-10-28 14:19:11.858600","2024-04-30 14:44:21.095626",1,f175a3b1-fa53-4156-a910-d51c91ed5b45,d3869e39-5f26-43b1-8209-731b3b7fa2dc,216c1fbe-7ac1-4031-b75f-0134878281d2,19db122f-4a61-4195-805d-b8bbd1bf4001,"[{"displayName":"HOME","description":"The Home page."}]"
07a8a5c3-c6d5-4d7c-b299-de143381923d,"2024-06-05 09:44:32.607286","2024-06-05 09:44:32.607286",1,421aaae0-3f86-4fc7-b6dc-7504c0023963,e09e0e5c-81df-4ad0-8654-a4a968666409,961f87f1-9287-4301-bb4d-01bbf6d73306,1b0278ab-8575-4f21-82a9-d615f6107e15,"[{"displayName":"HOME","description":"The Subspace Home page."}]"
07d55bb3-c6e4-4a6e-a788-c679f0b4d2bf,"2023-01-26 19:52:58.561731","2024-04-30 14:44:21.095626",1,2153aaf7-1df8-4002-b4b5-040b147266d9,785f53a6-d21f-4890-83c4-6cb4f02c5068,dd5937d1-5465-4748-8dac-8c2c52e72f18,777d0af3-10b3-4cfc-ad70-983b28f66c0a,"[{"displayName":"HOME","description":"The Home page."}]"
07e9d543-4386-437c-ab30-a866313ca50e,"2022-08-24 12:04:18.919405","2024-04-30 14:44:21.095626",1,4f5f8487-c7f1-44e1-9340-4d3a5800d9f2,17582546-e4d0-4c4b-8755-50197b2f9f91,f4cd8737-00bd-4977-bd0b-34bc20e31f6d,002f891b-69c7-4914-ad06-67234449a77e,"[{"displayName":"HOME","description":"The Home page."}]"
